mu,psi_ref_gauss,psi_hat_gauss,psi_ref_heaviside,psi_hat_heaviside
-1,0.107981933026376,0.129684915382505,5e-09,1.41673721836906e-252
-0.9975,0.109065806164265,0.130530849693119,5e-09,1.23645840284841e-251
-0.995,0.110157804744252,0.131382302030681,5e-09,1.07911993992432e-250
-0.9925,0.111257955248048,0.132239308389265,5e-09,9.41802685848035e-250
-0.99,0.112366283807736,0.133101904997733,5e-09,8.21958955862476e-249
-0.9875,0.113482816199648,0.133970128321267,5e-09,7.17365256305362e-248
-0.985,0.114607577838234,0.134844015062914,5e-09,6.26081031520844e-247
-0.9825,0.115740593769912,0.135723602165132,5e-09,5.46412660196225e-246
-0.98,0.116881888666903,0.136608926811356,5e-09,4.76882033141065e-245
-0.9775,0.11803148682105,0.137500026427568,5e-09,4.16199129520647e-244
-0.975,0.119189412137632,0.138396938683881,5e-09,3.6323808274522e-243
-0.9725,0.120355688129153,0.139299701496127,5e-09,3.17016291957029e-242
-0.97,0.12153033790913,0.140208353027466,5e-09,2.76676191567442e-241
-0.9675,0.122713384185865,0.141122931689995,5e-09,2.41469340606075e-240
-0.965,0.12390484925621,0.142043476146371,5e-09,2.10742536690342e-239
-0.9625,0.12510475499932,0.142970025311451,5e-09,1.83925696981664e-238
-0.96,0.126313122870397,0.143902618353931,5e-09,1.60521281282163e-237
-0.9575,0.127529973894433,0.144841294698005,5e-09,1.40095061034561e-236
-0.955,0.128755328659939,0.145786094025031,5e-09,1.22268062960311e-235
-0.9525,0.12998920731267,0.146737056275208,5e-09,1.06709537864295e-234
-0.95,0.131231629549353,0.147694221649265,5e-09,9.31308241540265e-234
-0.9475,0.132482614611397,0.148657630610162,5e-09,8.12799922218603e-233
-0.945,0.133742181278614,0.149627323884794,5e-09,7.09371703256777e-232
-0.9425,0.135010347862928,0.150603342465723,5e-09,6.19104652480828e-231
-0.94,0.136287132202089,0.151585727612902,5e-09,5.40324020486808e-230
-0.9375,0.137572551653384,0.152574520855423,5e-09,4.71568168556234e-229
-0.935,0.138866623087348,0.153569763993273,5e-09,4.11561450470369e-228
-0.9325,0.140169362881483,0.1545714990991,5e-09,3.59190545095231e-227
-0.93,0.141480786913967,0.155579768519991,5e-09,3.13483800628902e-226
-0.9275,0.142800910557382,0.156594614879263,5e-09,2.73593207278536e-225
-0.925,0.144129748672436,0.157616081078266,5e-09,2.38778663901571e-224
-0.9225,0.145467315601693,0.158644210298194,5e-09,2.08394246705818e-223
-0.92,0.146813625163314,0.159679046001912,5e-09,1.81876225247557e-222
-0.9175,0.148168690644797,0.160720631935795,5e-09,1.58732603386111e-221
-0.915,0.149532524796735,0.161769012131572,5e-09,1.38533991143908e-220
-0.9125,0.15090513982658,0.162824230908194,5e-09,1.20905638116327e-219
-0.91,0.152286547392415,0.163886332873702,5e-09,1.05520480624331e-218
-0.9075,0.153676758596738,0.164955362927118,5e-09,9.20930736123181e-218
-0.905,0.155075783980268,0.166031366260338,5e-09,8.03742947073702e-217
-0.9025,0.15648363351575,0.167114388360044,5e-09,7.01467221835084e-216
-0.9,0.157900316601788,0.168204475009629,5e-09,6.12206010765527e-215
-0.8975,0.159325842056686,0.169301672291131,5e-09,5.34303226082252e-214
-0.895,0.160760218112308,0.170406026587179,5e-09,4.66313516009003e-213
-0.8925,0.16220345240796,0.17151758458296,5e-09,4.06975448767371e-212
-0.89,0.163655551984286,0.172636393268183,5e-09,3.55188108886435e-211
-0.8875,0.165116523277183,0.173762499939074,5e-09,3.09990671615214e-210
-0.885,0.166586372111749,0.174895952200372,5e-09,2.70544576477309e-209
-0.8825,0.168065103696237,0.176036797967341,5e-09,2.36117969227594e-208
-0.88,0.169552722616044,0.177185085467795,5e-09,2.06072123559455e-207
-0.8775,0.171049232827725,0.178340863244141,5e-09,1.79849590639863e-206
-0.875,0.172554637653023,0.179504180155423,5e-09,1.56963856608156e-205
-0.8725,0.174068939772937,0.180675085379398,5e-09,1.36990316150579e-204
