case,model,order,nMom,L1,Linf,runtime_s,time_project_s,time_solve_s,time_eval_s,iterations,converged,time_model_build_s,time_quad_build_s
Gauss,HFMn,4,4,0.0536949829278863,0.0946999306068621,0.0128061,0.0009098,0.0007884,0.0022534,6,1,0.0002485,0.0019134
Heaviside,HFMn,4,4,0.253735552109322,0.617038525512498,0.0041378,0.0007857,0.0020942,0.0003469,24,1,0.0002485,0.0019134
Gauss,HFMn,8,8,0.00999972969108474,0.0207805057123898,0.0121511,0.0003458,0.0081258,0.0018208,6,1,0.0034632,0.0097947
Heaviside,HFMn,8,8,0.117279237102095,0.617341541291349,0.0049253,0.0004031,0.00189,0.0019289,24,1,0.0034632,0.0097947
Gauss,PMMn,4,4,0.10737946280399,0.211497526753077,0.0120373,0.0002429,0.0054385,0.0011675,5,1,0.0027761,0.002692
Heaviside,PMMn,4,4,0.000521198805636443,0.172511739951,0.0019555,0.0001004,0.0011705,0.0003344,21,1,0.0027761,0.002692
Gauss,PMMn,8,8,0.029675225610118,0.0631037437701319,0.0059657,0.0011063,0.0025134,0.0021717,5,1,0.0003568,0.0024751
Heaviside,PMMn,8,8,7.66950870535069e-05,0.0297611652013967,0.0028827,0.0006917,0.0015981,0.0004679,21,1,0.0003568,0.0024751
Gauss,PMPn,4,4,0.0366890368824201,0.0762609748067588,0.0014757,0.0003379,5.67e-05,0.0005881,0,1,0.0006358,0.003845
Heaviside,PMPn,4,4,0.00791273805568796,0.0189761903813095,0.0009656,0.0005074,3.94e-05,9.91e-05,0,1,0.0006358,0.003845
Gauss,PMPn,8,8,0.026157926429495,0.0492147392289594,0.0002663,3.41e-05,3.93e-05,7.48e-05,0,1,0.0002115,0.0033169
Heaviside,PMPn,8,8,0.00395642855165998,0.0189047618102381,0.0001608,2.6e-05,2.14e-05,4.94e-05,0,1,0.0002115,0.0033169
