z,rho_model,rho_ref
-1.16,1e-08,0.0154977341389193
-1.08,1e-08,0.0790680648018033
-1,1e-08,0.232826250933619
-0.92,1e-08,0.435241033387923
-0.84,1e-08,0.604001905266966
-0.76,1e-08,0.730504763830359
-0.68,1e-08,0.840119288121316
-0.6,1e-08,0.941814643251944
-0.52,9.53874666491415e-06,1.03552830268774
-0.44,0.000314127777906799,1.11986567619936
-0.36,0.0056147230338856,1.1933575701331
-0.28,0.0622778558319766,1.25465157734963
-0.2,0.513324572904914,1.30262572757852
-0.12,2.43734888402932,1.33450100725468
-0.04,9.48107071456317,1.36575652897964
0.04,9.48113160629408,1.36575652897965
0.12,2.43737549918408,1.33450100725468
0.2,0.513316372243617,1.30262572757852
0.28,0.0622778558319766,1.25465157734963
0.36,0.00561472303388559,1.19335757013309
0.44,0.000314127777906799,1.11986567619936
0.52,9.53874666491415e-06,1.03552830268774
0.6,1e-08,0.941814643251947
0.68,1e-08,0.840119288121315
0.76,1e-08,0.730504763830355
0.84,1e-08,0.604001905266962
0.92,1e-08,0.435241033387921
1,1e-08,0.232826250933618
1.08,1e-08,0.0790680648018029
1.16,1e-08,0.0154977341389192
