z,rho_model,rho_ref
-1.1988,1.00000363478773e-08,0.00556708786923239
-1.1964,1.00001267914014e-08,0.00601345624172313
-1.194,1.00003444480411e-08,0.00645982461421387
-1.1916,1.00009455162691e-08,0.00690619298670466
-1.1892,1.00025514564675e-08,0.00735256135919536
-1.1868,1.00069205865903e-08,0.00784322920975703
-1.1844,1.00186209015899e-08,0.00837819653838954
-1.182,1.00509124289064e-08,0.00891316386702205
-1.1796,1.01367764326946e-08,0.00946535307821413
-1.1772,1.03483760333388e-08,0.0101036517022036
-1.1748,1.08696945701244e-08,0.0107419503261933
-1.1724,1.21299565082768e-08,0.0113802489501828
-1.17,1.50880911355808e-08,0.0121175764809195
-1.1676,2.17765944467753e-08,0.0128747097930057
-1.1652,3.62564424281888e-08,0.0136318431050917
-1.1628,6.67228963582084e-08,0.0144566070744702
-1.1604,1.27767719617689e-07,0.0153490017011407
-1.158,2.05210414980437e-07,0.0162413963278115
-1.1556,2.53185959669791e-07,0.0171592120302937
-1.1532,2.89363142149379e-07,0.0182041331118332
-1.1508,3.326158820743e-07,0.0192490541933729
-1.1484,3.82601677460448e-07,0.0202939752749123
-1.146,4.40556793275342e-07,0.0214809295173122
-1.1436,5.0748235391384e-07,0.0226962903918842
-1.1412,5.84549537130051e-07,0.0239116512664559
-1.1388,6.73146734266443e-07,0.025221379759972
-1.1364,7.74755454447779e-07,0.0266254758724322
-1.134,8.90998943716653e-07,0.0280295719848926
-1.1316,1.02365124825774e-06,0.029468181760945
-1.1292,1.17466176511684e-06,0.0310793598549575
-1.1268,1.34625128233248e-06,0.0326905379489703
-1.1244,1.54121519189078e-06,0.0343017160429828
-1.122,1.76360768867631e-06,0.0361004710581521
-1.1196,2.01955250844103e-06,0.0379367414575528
-1.1172,2.31425847211385e-06,0.0397730118569531
-1.1148,2.63824109250202e-06,0.0417304474303163
-1.1124,3.04787177893657e-06,0.0438090481776417
-1.11,3.7319029424333e-06,0.0458876489249675
-1.1076,4.73096843503278e-06,0.0480093035445461
-1.1052,6.11977120891613e-06,0.0503462275253893
-1.1028,7.16717852277933e-06,0.0526831515062327
-1.1004,8.24519520163031e-06,0.0550200754870757
-1.098,1.02826687894645e-05,0.0575841452778509
-1.0956,1.22225928878285e-05,0.0601936442306122
-1.0932,1.35203680630895e-05,0.0628031431833735
-1.0908,1.49512912271272e-05,0.0655549336598757
-1.0884,1.65285157057369e-05,0.0684490156601179
-1.086,1.82616938357196e-05,0.0713430976603606
-1.0836,2.01516436559515e-05,0.0742861558746867
-1.0812,2.23280656122614e-05,0.077474095159431
-1.0788,2.77644418279493e-05,0.0806620344441756
-1.0764,3.61531107100958e-05,0.0838499737289196
-1.074,4.55941054568839e-05,0.087287863272038
-1.0716,6.75774278442501e-05,0.0907757428668309
-1.0692,9.52237662050935e-05,0.0942636224616238
-1.0668,0.00011811629618433,0.0979027164153284
-1.0644,0.000130287279396196,0.101693024727944
-1.062,0.000139926728347603,0.10548333304056
-1.0596,0.000152422481012236,0.109323806998199
-1.0572,0.000194169627469872,0.113415109180957
-1.0548,0.000280823061019321,0.117506411363715
-1.0524,0.000430387503821076,0.121597713546472
-1.05,0.00066390148133099,0.125935183372164
-1.0476,0.00101213755595077,0.130321886726441
-1.0452,0.00151965973167078,0.134708590080719
-1.0428,0.0022541401355687,0.139238056744208
-1.0404,0.0032984462137372,0.143910286716908
-1.038,0.00477914412662831,0.148582516689608
-1.0356,0.00685093869613657,0.153299974909696
-1.0332,0.00972933192888593,0.158243574366729
-1.0308,0.0136919082652438,0.163187173823761
-1.0284,0.0190926655644582,0.168130773280792
-1.026,0.026384688523679,0.173285256188402
-1.0236,0.0361311986371753,0.178481915786127
-1.0212,0.0490147230486159,0.183678575383853
-1.0188,0.0658635210749186,0.188990666101171
-1.0164,0.0876384610583251,0.194418187938082
-1.014,0.115443609325918,0.199845709774993
-1.0116,0.150503380724438,0.205307426408305
-1.0092,0.194123070646813,0.210940117023631
-1.0068,0.24769408228646,0.216572807638955
-1.0044,0.307057971080347,0.22220549825428
-1.002,0.365260952393794,0.22798526547856
-0.9996,0.421416857673242,0.23379444802463
-0.9972,0.474961639216516,0.239603630570701
-0.9948,0.525346802093595,0.245485536561133
-0.9924,0.572100599544112,0.251440165995929
-0.99,0.614861707336362,0.257394795430724
-0.9876,0.65341878507757,0.263368213261714
-0.9852,0.687708007561603,0.269435573073678
-0.9828,0.717840727194391,0.275502932885641
-0.9804,0.74371003950524,0.281570292697605
-0.978,0.765443465567656,0.287703564873264
-0.9756,0.783553877617711,0.293850019521663
-0.9732,0.798663556968641,0.299996474170062
-0.9708,0.811464164801822,0.306165588611017
-0.9684,0.822762556587132,0.312357362844528
-0.966,0.833176973196687,0.318549137078039
-0.9636,0.841962456177709,0.324742941393301
-0.9612,0.846389626670169,0.330946896117315
-0.9588,0.843610606778923,0.337150850841329
-0.9564,0.831454900311658,0.343354805565342
-0.954,0.808838256722296,0.349542443450223
-0.9516,0.776391827494169,0.355726817967278
-0.9492,0.745299793562179,0.361911192484332
-0.9468,0.717080573537971,0.368070925868689
-0.9444,0.692183046587061,0.374206018120347
-0.942,0.662213439460634,0.380341110372006
-0.9396,0.617578925739162,0.386463480545064
-0.9372,0.578079249248213,0.392522240325122
-0.9348,0.540478032666065,0.398581000105179
-0.9324,0.505339036478277,0.404639759885236
-0.93,0.473237378909498,0.410614982155109
-0.9276,0.444117037574018,0.416573496922945
-0.9252,0.417840410550618,0.422532011690782
-0.9228,0.394143273948522,0.428430198368667
-0.9204,0.372787388441822,0.4342680569566
-0.918,0.353510526815067,0.440105915544533
-0.9156,0.336107764204449,0.44592088533489
-0.9132,0.320371521466289,0.451621411137361
-0.9108,0.306155462008783,0.457321936939832
-0.9084,0.293321539413361,0.463022462742303
-0.906,0.281731618006772,0.468597843495105
-0.9036,0.271246814276555,0.474148195237973
-0.9012,0.261770533315009,0.479698546980841
-0.8988,0.253233335734287,0.485169295102386
-0.8964,0.245597209565223,0.490560439602608
-0.894,0.23880017610444,0.49595158410283
-0.8916,0.232806880449498,0.501315299028789
-0.8892,0.227472905840045,0.506541866083437
-0.8868,0.222746700679908,0.511768433138086
-0.8844,0.218510744607361,0.516995000192734
-0.882,0.21501232865727,0.522082790004321
-0.8796,0.212418636053128,0.527142824367296
-0.8772,0.210819457908883,0.532202858730271
-0.8748,0.209642281754911,0.537180190446972
-0.8724,0.20824169810907,0.542074819517399
-0.87,0.20739785040078,0.546969448587826
-0.8676,0.205616342083643,0.551837145848149
-0.8652,0.204200302987449,0.556570184057953
-0.8628,0.203332523534499,0.561303222267756
-0.8604,0.202878377435001,0.56603626047756
-0.858,0.202801252791832,0.57063969343156
-0.8556,0.203084037747696,0.5752172053344
-0.8532,0.203623996681537,0.579794717237239
-0.8508,0.204458537898513,0.584298395079223
-0.8484,0.205581405564069,0.588728238860351
-0.846,0.206936045291375,0.593158082641479
-0.8436,0.208553640462039,0.597564847739874
-0.8412,0.210355076209915,0.601856219424602
-0.8388,0.212283011572524,0.60614759110933
-0.8364,0.214348861639848,0.610438962794058
-0.834,0.216505986128166,0.614623354944699
-0.8316,0.218922667481397,0.618786351188522
-0.8292,0.221591505403775,0.622949347432345
-0.8268,0.224500397346387,0.627053452678515
-0.8244,0.227669214945228,0.631098666927034
-0.822,0.231121075951934,0.635143881175552
-0.8196,0.234932131291596,0.639171253596954
-0.8172,0.238986360381243,0.643109416882775
-0.8148,0.243313821484252,0.647047580168595
-0.8124,0.247996430970019,0.650985743454416
-0.81,0.253150589162563,0.654843498976263
-0.8076,0.258842232595415,0.658685172945317
-0.8052,0.265122510898486,0.66252684691437
-0.8028,0.27164147465235,0.666325346989207
-0.8004,0.277882214685592,0.670080673169828
-0.798,0.284029845184498,0.673835999350449
-0.7956,0.290580255438002,0.677578522176735
-0.7932,0.29849550732366,0.681257028231345
-0.7908,0.307008404351701,0.684935534285954
-0.7884,0.317698561253739,0.688614040340564
-0.786,0.332230141900118,0.692235842091978
-0.7836,0.348935919299945,0.695846302982753
-0.7812,0.367646264962248,0.699456763873527
-0.7788,0.390493141762973,0.703037169198893
-0.7764,0.414972649403285,0.70658751895885
-0.774,0.444073453524107,0.710137868718806
-0.7716,0.478874975587748,0.713679374881646
-0.7692,0.518643257763318,0.717176663058906
-0.7668,0.566970545458886,0.720673951236165
-0.7644,0.627732768682059,0.724171239413425
-0.762,0.700741247485802,0.72762944230333
-0.7596,0.790560174940497,0.731079828135765
-0.7572,0.878580456282596,0.7345302139682
-0.7548,0.954740757429115,0.737959795351688
-0.7524,1.02694282671251,0.74136857228623
-0.75,1.1208390621866,0.744777349220773
-0.7476,1.22992812185125,0.748179937202617
-0.7452,1.35601771242191,0.751551580420974
-0.7428,1.46678528278324,0.754923223639331
-0.7404,1.56645178513629,0.758294866857687
-0.738,1.65595855550387,0.761638665771668
-0.7356,1.73658140590258,0.764976895824772
-0.7332,1.80863395492904,0.768315125877877
-0.7308,1.87192948474607,0.771638169095002
-0.7284,1.9252675477147,0.774946025476148
