z,rho_model,rho_ref
-1.1988,1e-08,0.00556708786923239
-1.1964,1e-08,0.00601345624172313
-1.194,1e-08,0.00645982461421387
-1.1916,1e-08,0.00690619298670466
-1.1892,1e-08,0.00735256135919536
-1.1868,1e-08,0.00784322920975703
-1.1844,1.00000000000001e-08,0.00837819653838954
-1.182,1.00000000000003e-08,0.00891316386702205
-1.1796,1.00000000000008e-08,0.00946535307821413
-1.1772,1.00000000000023e-08,0.0101036517022036
-1.1748,1.00000000000067e-08,0.0107419503261933
-1.1724,1.00000000000191e-08,0.0113802489501828
-1.17,1.00000000000547e-08,0.0121175764809195
-1.1676,1.00000000001562e-08,0.0128747097930057
-1.1652,1.00000000004447e-08,0.0136318431050917
-1.1628,1.0000000001263e-08,0.0144566070744702
-1.1604,1.00000000035774e-08,0.0153490017011407
-1.158,1.00000000101054e-08,0.0162413963278115
-1.1556,1.00000000284688e-08,0.0171592120302937
-1.1532,1.00000000799851e-08,0.0182041331118332
-1.1508,1.00000002241165e-08,0.0192490541933729
-1.1484,1.00000006262671e-08,0.0202939752749123
-1.146,1.00000017452766e-08,0.0214809295173122
-1.1436,1.00000048504871e-08,0.0226962903918842
-1.1412,1.00000134437597e-08,0.0239116512664559
-1.1388,1.00000371593811e-08,0.025221379759972
-1.1364,1.00001024299214e-08,0.0266254758724322
-1.134,1.00002815751818e-08,0.0280295719848926
-1.1316,1.00007719155707e-08,0.029468181760945
-1.1292,1.00021103376904e-08,0.0310793598549575
-1.1268,1.00057535993338e-08,0.0326905379489703
-1.1244,1.00156434049034e-08,0.0343017160429828
-1.122,1.00424155369532e-08,0.0361004710581521
-1.1196,1.01146880108825e-08,0.0379367414575528
-1.1172,1.0309247789657e-08,0.0397730118569531
-1.1148,1.08315379212813e-08,0.0417304474303163
-1.1124,1.22295855402874e-08,0.0438090481776417
-1.11,1.59609474382831e-08,0.0458876489249675
-1.1076,2.58952039642172e-08,0.0480093035445461
