z,rho_model,rho_ref
-1.1988,4.16790128736665e-06,0.00556708786923239
-1.1964,5.23977066894136e-06,0.00601345624172313
-1.194,6.57161192521631e-06,0.00645982461421387
-1.1916,8.2235925280326e-06,0.00690619298670466
-1.1892,1.0268623256593e-05,0.00735256135919536
-1.1868,1.2794790362112e-05,0.00784322920975703
-1.1844,1.59084117193729e-05,0.00837819653838954
-1.182,1.97375088357496e-05,0.00891316386702205
-1.1796,2.4435860478552e-05,0.00946535307821413
-1.1772,3.01877107675844e-05,0.0101036517022036
-1.1748,3.72132275968295e-05,0.0107419503261933
-1.1724,4.5774809930484e-05,0.0113802489501828
-1.17,5.61843513319282e-05,0.0121175764809195
-1.1676,6.88115748189528e-05,0.0128747097930057
-1.1652,8.40935619366282e-05,0.0136318431050917
-1.1628,0.000102545605941707,0.0144566070744702
-1.1604,0.000124773525166907,0.0153490017011407
-1.158,0.000151487577258998,0.0162413963278115
-1.1556,0.000183518117944409,0.0171592120302937
-1.1532,0.00022183314843955,0.0182041331118332
-1.1508,0.000267557893407386,0.0192490541933729
-1.1484,0.000321996545507405,0.0202939752749123
-1.146,0.000386656302868158,0.0214809295173122
-1.1436,0.000463273811077669,0.0226962903918842
-1.1412,0.000553844101439002,0.0239116512664559
-1.1388,0.000660652090975867,0.025221379759972
-1.1364,0.000786306676861098,0.0266254758724322
-1.134,0.000933777417571226,0.0280295719848926
-1.1316,0.00110643374465535,0.029468181760945
-1.1292,0.00130808659220289,0.0310793598549575
-1.1268,0.00154303226530784,0.0326905379489703
-1.1244,0.00181609829399906,0.0343017160429828
-1.122,0.0021326909350951,0.0361004710581521
-1.1196,0.00249884389163711,0.0379367414575528
-1.1172,0.00292126771810808,0.0397730118569531
-1.1148,0.00340739927097572,0.0417304474303163
-1.1124,0.00396545044832316,0.0438090481776417
-1.11,0.00460445534228428,0.0458876489249675
-1.1076,0.00533431480430406,0.0480093035445461
-1.1052,0.00616583729928422,0.0503462275253893
-1.1028,0.00711077480249634,0.0526831515062327
-1.1004,0.00818185237651367,0.0550200754870757
-1.098,0.00939278995746097,0.0575841452778509
-1.0956,0.0107583147849928,0.0601936442306122
-1.0932,0.0122941628326338,0.0628031431833735
-1.0908,0.0140170675393399,0.0655549336598757
-1.0884,0.0159447341134143,0.0684490156601179
-1.086,0.0180957976822092,0.0713430976603606
-1.0836,0.0204897635985001,0.0742861558746867
-1.0812,0.0231469282931663,0.077474095159431
-1.0788,0.0260882791863741,0.0806620344441756
-1.0764,0.0293353723405667,0.0838499737289196
-1.074,0.0329101867601137,0.087287863272038
-1.0716,0.03683495451664,0.0907757428668309
-1.0692,0.0411319662063281,0.0942636224616238
-1.0668,0.0458233516251198,0.0979027164153284
-1.0644,0.0509308359775632,0.101693024727944
-1.062,0.0564754724112307,0.10548333304056
-1.0596,0.0624773521855438,0.109323806998199
-1.0572,0.0689552943341493,0.113415109180957
-1.0548,0.0759265172545496,0.117506411363715
-1.0524,0.0834062952465848,0.121597713546472
-1.05,0.0914076036101142,0.125935183372164
-1.0476,0.0999407564879176,0.130321886726441
-1.0452,0.109013042187368,0.134708590080719
-1.0428,0.118628361217948,0.139238056744208
-1.0404,0.128786872724925,0.143910286716908
-1.038,0.139484655366278,0.148582516689608
-1.0356,0.150713388954718,0.153299974909696
-1.0332,0.162460063354944,0.158243574366729
-1.0308,0.17470672117546,0.163187173823761
-1.0284,0.187430240714031,0.168130773280792
-1.026,0.200602165398623,0.173285256188402
-1.0236,0.21418858560733,0.178481915786127
-1.0212,0.228150078250895,0.183678575383853
-1.0188,0.242441708863379,0.188990666101171
-1.0164,0.25701310017812,0.194418187938082
-1.014,0.271808570278763,0.199845709774993
-1.0116,0.28676734242443,0.205307426408305
-1.0092,0.30182382757261,0.210940117023631
-1.0068,0.316907979484553,0.216572807638955
-1.0044,0.331945721118951,0.22220549825428
-1.002,0.346859439824214,0.22798526547856
-0.9996,0.361568547650909,0.23379444802463
-0.9972,0.37599010194479,0.239603630570701
-0.9948,0.390039480264223,0.245485536561133
-0.9924,0.403631102604339,0.251440165995929
-0.99,0.41667919290493,0.257394795430724
-0.9876,0.429098570856655,0.263368213261714
-0.9852,0.440805464064466,0.269435573073678
-0.9828,0.451718329610691,0.275502932885641
-0.9804,0.461758672881214,0.281570292697605
-0.978,0.470851850053383,0.287703564873264
-0.9756,0.478927838671549,0.293850019521663
-0.9732,0.485921957183662,0.299996474170062
-0.9708,0.491775506922439,0.306165588611017
-0.9684,0.496436299898969,0.312357362844528
-0.966,0.499859037468175,0.318549137078039
-0.9636,0.502005554858981,0.324742941393301
-0.9612,0.502844776211729,0.330946896117315
-0.9588,0.502352377445571,0.337150850841329
-0.9564,0.500499726318783,0.343354805565342
-0.954,0.497169177446609,0.349542443450223
-0.9516,0.492745848830797,0.355726817967278
-0.9492,0.480485574803633,0.361911192484332
-0.9468,0.442658745538221,0.368070925868689
-0.9444,0.392965508931069,0.374206018120347
-0.942,0.352685157145829,0.380341110372006
-0.9396,0.321794598523066,0.386463480545064
-0.9372,0.299451451139877,0.392522240325122
-0.9348,0.285303093824191,0.398581000105179
-0.9324,0.279394787730372,0.404639759885236
-0.93,0.282251039152156,0.410614982155109
-0.9276,0.294153014316095,0.416573496922945
-0.9252,0.315767350209449,0.422532011690782
-0.9228,0.348915398433215,0.428430198368667
-0.9204,0.39588982827292,0.4342680569566
-0.918,0.459851641768105,0.440105915544533
-0.9156,0.535328545487119,0.44592088533489
-0.9132,0.605048285727153,0.451621411137361
-0.9108,0.666212505835389,0.457321936939832
-0.9084,0.718061121650224,0.463022462742303
-0.906,0.760468757675837,0.468597843495105
-0.9036,0.793793613655795,0.474148195237973
-0.9012,0.818743892074178,0.479698546980841
-0.8988,0.836192539874401,0.485169295102386
-0.8964,0.847179998388687,0.490560439602608
-0.894,0.8529841711205,0.49595158410283
-0.8916,0.854933651017741,0.50131529902879
-0.8892,0.85448642056191,0.506541866083438
-0.8868,0.851099214931274,0.511768433138086
-0.8844,0.841486834449786,0.516995000192734
-0.882,0.821709706329798,0.522082790004321
-0.8796,0.788406619571058,0.527142824367296
-0.8772,0.738847481778963,0.532202858730271
-0.8748,0.674719829787074,0.537180190446972
-0.8724,0.612943717905871,0.542074819517399
-0.87,0.558233206518017,0.546969448587826
-0.8676,0.510299003277784,0.551837145848149
-0.8652,0.46886025982953,0.556570184057953
-0.8628,0.433593191756484,0.561303222267756
-0.8604,0.404175865626471,0.56603626047756
-0.858,0.38030324501197,0.57063969343156
-0.8556,0.361704721467325,0.5752172053344
-0.8532,0.348179952960373,0.579794717237239
-0.8508,0.338999518971319,0.584298395079223
-0.8484,0.332713828236169,0.588728238860351
