z,rho_model,rho_ref
-1.1988,1.00000000000003e-08,0.00556708786923239
-1.1964,1.00000000000008e-08,0.00601345624172313
-1.194,1.00000000000016e-08,0.00645982461421387
-1.1916,1.00000000000034e-08,0.00690619298670466
-1.1892,1.00000000000071e-08,0.00735256135919536
-1.1868,1.00000000000146e-08,0.00784322920975703
-1.1844,1.00000000000301e-08,0.00837819653838954
-1.182,1.00000000000618e-08,0.00891316386702205
-1.1796,1.00000000001262e-08,0.00946535307821413
-1.1772,1.00000000002567e-08,0.0101036517022036
-1.1748,1.00000000005202e-08,0.0107419503261933
-1.1724,1.00000000010499e-08,0.0113802489501828
-1.17,1.0000000002111e-08,0.0121175764809195
-1.1676,1.00000000042276e-08,0.0128747097930057
-1.1652,1.00000000084332e-08,0.0136318431050917
-1.1628,1.00000000167564e-08,0.0144566070744702
-1.1604,1.00000000331627e-08,0.0153490017011407
-1.158,1.00000000653725e-08,0.0162413963278115
-1.1556,1.00000001283545e-08,0.0171592120302937
-1.1532,1.00000002510115e-08,0.0182041331118332
-1.1508,1.00000004889196e-08,0.0192490541933729
-1.1484,1.00000009484991e-08,0.0202939752749123
-1.146,1.00000018326789e-08,0.0214809295173122
-1.1436,1.0000003526792e-08,0.0226962903918842
-1.1412,1.00000067594433e-08,0.0239116512664559
-1.1388,1.00000129024735e-08,0.025221379759972
-1.1364,1.00000245278225e-08,0.0266254758724322
-1.134,1.00000464367275e-08,0.0280295719848926
-1.1316,1.00000875534053e-08,0.029468181760945
-1.1292,1.00001643936793e-08,0.0310793598549575
-1.1268,1.00003073896218e-08,0.0326905379489703
-1.1244,1.00005723691404e-08,0.0343017160429828
-1.122,1.00010612961165e-08,0.0361004710581521
-1.1196,1.00019595674615e-08,0.0379367414575528
-1.1172,1.00036027700417e-08,0.0397730118569531
-1.1148,1.00065956013465e-08,0.0417304474303163
-1.1124,1.00120227016908e-08,0.0438090481776417
-1.11,1.00218206289146e-08,0.0458876489249675
-1.1076,1.00394309344484e-08,0.0480093035445461
-1.1052,1.00709411027314e-08,0.0503462275253893
-1.1028,1.01270678221687e-08,0.0526831515062327
-1.1004,1.02265873315255e-08,0.0550200754870757
-1.098,1.0402237205111e-08,0.0575841452778509
-1.0956,1.07108192888452e-08,0.0601936442306122
-1.0932,1.12504021631203e-08,0.0628031431833735
-1.0908,1.21894556369866e-08,0.0655549336598757
-1.0884,1.38159277256242e-08,0.0684490156601179
-1.086,1.66194602529456e-08,0.0713430976603606
-1.0836,2.14283637757669e-08,0.0742861558746867
-1.0812,2.96364740894084e-08,0.077474095159431
-1.0788,4.35768208516026e-08,0.0806620344441756
-1.0764,6.71334046128888e-08,0.0838499737289196
-1.074,1.06736879687283e-07,0.087287863272038
-1.0716,1.72975231924392e-07,0.0907757428668309
-1.0692,2.83183188964153e-07,0.0942636224616238
-1.0668,4.65578838867474e-07,0.0979027164153284
-1.0644,7.65829314636232e-07,0.101693024727944
-1.062,1.25740421316188e-06,0.10548333304056
-1.0596,2.05779110317967e-06,0.109323806998199
-1.0572,3.35371653330833e-06,0.113415109180957
-1.0548,5.44010481595012e-06,0.117506411363715
-1.0524,8.77981599741208e-06,0.121597713546472
-1.05,1.40945712249215e-05,0.125935183372164
-1.0476,2.25023004568514e-05,0.130321886726441
-1.0452,3.57229813941915e-05,0.134708590080719
-1.0428,5.63847090987954e-05,0.139238056744208
-1.0404,8.84749047684926e-05,0.143910286716908
-1.038,0.000137999704993689,0.148582516689608
-1.0356,0.000213939699037162,0.153299974909696
-1.0332,0.000329621238775766,0.158243574366729
-1.0308,0.000504666250791879,0.163187173823761
-1.0284,0.000767736211607151,0.168130773280792
-1.026,0.00116035344679489,0.173285256188402
-1.0236,0.0017421639796902,0.178481915786127
-1.0212,0.0025981012569936,0.183678575383853
-1.0188,0.00384801662258209,0.188990666101171
