z,rho_model,rho_ref
-1.1988,1e-08,0.00556708786923243
-1.1964,1e-08,0.00601345624172317
-1.194,1e-08,0.00645982461421392
-1.1916,1e-08,0.0069061929867047
-1.1892,1e-08,0.0073525613591954
-1.1868,1e-08,0.00784322920975708
-1.1844,1e-08,0.00837819653838959
-1.182,1e-08,0.00891316386702211
-1.1796,1e-08,0.00946535307821419
-1.1772,1e-08,0.0101036517022037
-1.1748,1e-08,0.0107419503261933
-1.1724,1e-08,0.0113802489501829
-1.17,1e-08,0.0121175764809196
-1.1676,1e-08,0.0128747097930058
-1.1652,1e-08,0.0136318431050918
-1.1628,1e-08,0.0144566070744703
-1.1604,1e-08,0.0153490017011408
-1.158,1.00000000000001e-08,0.0162413963278116
-1.1556,1.00000000000065e-08,0.0171592120302938
-1.1532,1.00000000002188e-08,0.0182041331118333
-1.1508,1.00000000079362e-08,0.019249054193373
-1.1484,1.00000000546071e-08,0.0202939752749124
-1.146,1.00000002008779e-08,0.0214809295173123
-1.1436,1.00000005727924e-08,0.0226962903918843
-1.1412,1.00000015493684e-08,0.023911651266456
-1.1388,1.00000041818522e-08,0.0252213797599722
-1.1364,1.00000112472583e-08,0.0266254758724323
-1.134,1.00000300491497e-08,0.0280295719848927
-1.1316,1.00000788445431e-08,0.0294681817609452
-1.1292,1.00002128074954e-08,0.0310793598549577
-1.1268,1.00006339979492e-08,0.0326905379489705
-1.1244,1.0001728277182e-08,0.034301716042983
-1.122,1.00046022942212e-08,0.0361004710581523
-1.1196,1.00121924522963e-08,0.0379367414575529
-1.1172,1.00330271743968e-08,0.0397730118569532
-1.1148,1.00902717599473e-08,0.0417304474303165
-1.1124,1.02303727156913e-08,0.0438090481776419
-1.11,1.06122037987521e-08,0.0458876489249677
-1.1076,1.15137390138065e-08,0.0480093035445463
-1.1052,1.37243098130839e-08,0.0503462275253895
-1.1028,1.85099399663639e-08,0.052683151506233
-1.1004,2.84496658985848e-08,0.055020075487076
-1.098,4.76530018022095e-08,0.0575841452778511
-1.0956,8.25426239890026e-08,0.0601936442306124
-1.0932,1.42792360042584e-07,0.0628031431833737
-1.0908,2.44873205363386e-07,0.0655549336598759
-1.0884,4.15543905502436e-07,0.0684490156601181
-1.086,6.95651778045304e-07,0.0713430976603609
-1.0836,1.15014094398577e-06,0.074286155874687
-1.0812,1.88136880244942e-06,0.0774740951594313
-1.0788,3.05049274600629e-06,0.0806620344441759
-1.0764,4.90862720139259e-06,0.0838499737289199
-1.074,7.84415659406416e-06,0.0872878632720383
-1.0716,1.24544114231153e-05,0.0907757428668312
-1.0692,1.96503495574576e-05,0.0942636224616241
-1.0668,3.08113664979964e-05,0.0979027164153288
-1.0644,4.80111579635175e-05,0.101693024727944
-1.062,7.43430663877383e-05,0.10548333304056
-1.0596,0.000114385761661839,0.109323806998199
-1.0572,0.000174863568483365,0.113415109180957
-1.0548,0.000265571455541765,0.117506411363715
-1.0524,0.000400659007328573,0.121597713546473
-1.05,0.000600392359855968,0.125935183372164
-1.0476,0.000893543199271639,0.130321886726441
-1.0452,0.00132058854210559,0.134708590080719
-1.0428,0.00193794096563765,0.139238056744208
-1.0404,0.00282346005624033,0.143910286716908
-1.038,0.00408352571061227,0.148582516689608
-1.0356,0.00586196360098918,0.153299974909697
-1.0332,0.00835109841869462,0.158243574366729
-1.0308,0.0118051574745457,0.163187173823761
-1.0284,0.0165561312740897,0.168130773280793
-1.026,0.0230320015197473,0.173285256188403
-1.0236,0.0317769452422942,0.178481915786128
-1.0212,0.0434726859291502,0.183678575383853
-1.0188,0.0589595574733297,0.188990666101171
-1.0164,0.0792550570584461,0.194418187938082
-1.014,0.105566649791308,0.199845709774993
-1.0116,0.139294312255904,0.205307426408306
-1.0092,0.182016151708021,0.210940117023631
-1.0068,0.235448548872246,0.216572807638956
-1.0044,0.301328615707247,0.222205498254281
-1.002,0.380680496621253,0.227985265478561
-0.9996,0.463574014105879,0.233794448024631
-0.9972,0.54452946896246,0.239603630570701
-0.9948,0.623023863154951,0.245485536561134
-0.9924,0.698166894078477,0.251440165995929
-0.99,0.769362250248092,0.257394795430725
-0.9876,0.835825481411576,0.263368213261714
-0.9852,0.897194932114937,0.269435573073678
-0.9828,0.953349129626771,0.275502932885642
-0.9804,1.00450835383264,0.281570292697605
-0.978,1.05019343737079,0.287703564873265
-0.9756,1.09020667793862,0.293850019521664
-0.9732,1.12546012739094,0.299996474170062
-0.9708,1.15605177098382,0.306165588611017
-0.9684,1.18239424157288,0.312357362844529
