z,rho_model,rho_ref
-1.1988,1.00000000000599e-08,0.00556708786923243
-1.1964,1.00000000001547e-08,0.00601345624172317
-1.194,1.00000000003029e-08,0.00645982461421392
-1.1916,1.0000000000627e-08,0.0069061929867047
-1.1892,1.00000000012745e-08,0.0073525613591954
-1.1868,1.00000000025885e-08,0.00784322920975708
-1.1844,1.00000000052318e-08,0.00837819653838959
-1.182,1.00000000105331e-08,0.00891316386702211
-1.1796,1.00000000211179e-08,0.00946535307821419
-1.1772,1.00000000421646e-08,0.0101036517022037
-1.1748,1.00000000838364e-08,0.0107419503261933
-1.1724,1.0000000165995e-08,0.0113802489501829
-1.17,1.00000003272834e-08,0.0121175764809196
-1.1676,1.00000006425519e-08,0.0128747097930058
-1.1652,1.00000012561346e-08,0.0136318431050918
-1.1628,1.00000024450975e-08,0.0144566070744703
-1.1604,1.00000047388868e-08,0.0153490017011408
-1.158,1.00000091445955e-08,0.0162413963278116
-1.1556,1.00000175690497e-08,0.0171592120302938
-1.1532,1.00000336058604e-08,0.0182041331118333
-1.1508,1.00000639958545e-08,0.019249054193373
-1.1484,1.00001213236797e-08,0.0202939752749124
-1.146,1.00002289722075e-08,0.0214809295173123
-1.1436,1.00004301794939e-08,0.0226962903918843
-1.1412,1.00008045116675e-08,0.023911651266456
-1.1388,1.00014976708118e-08,0.0252213797599722
-1.1364,1.00027751541406e-08,0.0266254758724323
-1.134,1.00051183455062e-08,0.0280295719848927
-1.1316,1.00093956863274e-08,0.0294681817609452
-1.1292,1.00171659627059e-08,0.0310793598549577
-1.1268,1.00312127848458e-08,0.0326905379489705
-1.1244,1.00564813597684e-08,0.034301716042983
-1.122,1.01017113020287e-08,0.0361004710581523
-1.1196,1.01822667670145e-08,0.0379367414575529
-1.1172,1.03250141759433e-08,0.0397730118569532
-1.1148,1.0576680859604e-08,0.0417304474303165
-1.1124,1.1018095708303e-08,0.0438090481776419
-1.11,1.1788308505746e-08,0.0458876489249677
-1.1076,1.31251974821586e-08,0.0480093035445463
-1.1052,1.54334236612114e-08,0.0503462275253895
-1.1028,1.93974514924299e-08,0.052683151506233
-1.1004,2.61683534528445e-08,0.055020075487076
-1.098,3.76706161533513e-08,0.0575841452778511
-1.0956,5.71027993718413e-08,0.0601936442306124
-1.0932,8.97491964858111e-08,0.0628031431833737
-1.0908,1.4428694094915e-07,0.0655549336598759
-1.0884,2.34876741202831e-07,0.0684490156601181
-1.086,3.84483983924264e-07,0.0713430976603609
-1.0836,6.30117170762986e-07,0.074286155874687
-1.0812,1.03103131341878e-06,0.0774740951594313
-1.0788,1.68148029384609e-06,0.0806620344441759
-1.0764,2.7303921119654e-06,0.0838499737289199
-1.074,4.41149234919129e-06,0.0872878632720383
-1.0716,7.08906153818126e-06,0.0907757428668312
-1.0692,1.13268794519184e-05,0.0942636224616241
-1.0668,1.79912444101004e-05,0.0979027164153288
-1.0644,2.84035946119022e-05,0.101693024727944
-1.062,4.45646233284494e-05,0.10548333304056
-1.0596,6.94803845011442e-05,0.109323806998199
-1.0572,0.000107632331801863,0.113415109180957
-1.0548,0.000165648191425149,0.117506411363715
-1.0524,0.00025324972494549,0.121597713546473
-1.05,0.000384577413454397,0.125935183372164
-1.0476,0.000580021296905728,0.130321886726441
-1.0452,0.000868721615177457,0.134708590080719
-1.0428,0.00129194176734725,0.139238056744208
-1.0404,0.00190755753175152,0.143910286716908
-1.038,0.00279594689277738,0.148582516689608
-1.0356,0.00406759831011255,0.153299974909697
-1.0332,0.00587277293173718,0.158243574366729
-1.0308,0.00841354545408991,0.163187173823761
-1.0284,0.0119584921181801,0.168130773280793
-1.026,0.0168601710738679,0.173285256188403
-1.0236,0.0235753230361624,0.178481915786128
-1.0212,0.032687370961862,0.183678575383853
-1.0188,0.0449303081133455,0.188990666101171
