z,rho_model,rho_ref
-1.1988,1.00000000000001e-08,0.00556708786923243
-1.1964,1.00000000000003e-08,0.00601345624172317
-1.194,1.00000000000005e-08,0.00645982461421392
-1.1916,1.00000000000011e-08,0.0069061929867047
-1.1892,1.00000000000024e-08,0.0073525613591954
-1.1868,1.0000000000005e-08,0.00784322920975708
-1.1844,1.00000000000106e-08,0.00837819653838959
-1.182,1.00000000000222e-08,0.00891316386702211
-1.1796,1.00000000000463e-08,0.00946535307821419
-1.1772,1.00000000000963e-08,0.0101036517022037
-1.1748,1.00000000001992e-08,0.0107419503261933
-1.1724,1.00000000004108e-08,0.0113802489501829
-1.17,1.00000000008437e-08,0.0121175764809196
-1.1676,1.0000000001726e-08,0.0128747097930058
-1.1652,1.00000000035166e-08,0.0136318431050918
-1.1628,1.00000000071362e-08,0.0144566070744703
-1.1604,1.0000000014423e-08,0.0153490017011408
-1.158,1.00000000290321e-08,0.0162413963278116
-1.1556,1.00000000581999e-08,0.0171592120302938
-1.1532,1.00000001161929e-08,0.0182041331118333
-1.1508,1.00000002310146e-08,0.019249054193373
-1.1484,1.00000004573939e-08,0.0202939752749124
-1.146,1.00000009018236e-08,0.0214809295173123
-1.1436,1.00000017706047e-08,0.0226962903918843
-1.1412,1.00000034616161e-08,0.023911651266456
-1.1388,1.00000067387846e-08,0.0252213797599722
-1.1364,1.00000130622368e-08,0.0266254758724323
-1.134,1.00000252100974e-08,0.0280295719848927
-1.1316,1.00000484439895e-08,0.0294681817609452
-1.1292,1.00000926831477e-08,0.0310793598549577
-1.1268,1.00001765403694e-08,0.0326905379489705
-1.1244,1.00003347774834e-08,0.034301716042983
-1.122,1.00006320096112e-08,0.0361004710581523
-1.1196,1.00011877699637e-08,0.0379367414575529
-1.1172,1.0002222121864e-08,0.0397730118569532
-1.1148,1.00041382395531e-08,0.0417304474303165
-1.1124,1.00076711524205e-08,0.0438090481776419
-1.11,1.00141542704596e-08,0.0458876489249677
-1.1076,1.00259944460619e-08,0.0480093035445463
-1.1052,1.00475142391993e-08,0.0503462275253895
-1.1028,1.00864371979533e-08,0.052683151506233
-1.1004,1.01564928210008e-08,0.055020075487076
-1.098,1.02819601283355e-08,0.0575841452778511
-1.0956,1.05055483959667e-08,0.0601936442306124
-1.0932,1.09019903682051e-08,0.0628031431833737
-1.0908,1.16013495069708e-08,0.0655549336598759
-1.0884,1.28287619385588e-08,0.0684490156601181
-1.086,1.49717946951001e-08,0.0713430976603609
-1.0836,1.86939339491602e-08,0.074286155874687
-1.0812,2.5124643129502e-08,0.0774740951594313
-1.0788,3.61757286707518e-08,0.0806620344441759
-1.0764,5.50645702208799e-08,0.0838499737289199
-1.074,8.71741527767482e-08,0.0872878632720383
-1.0716,1.41457611321659e-07,0.0907757428668312
-1.0692,2.3271685073395e-07,0.0942636224616241
-1.0668,3.85274804296842e-07,0.0979027164153288
-1.0644,6.38853516347205e-07,0.101693024727944
-1.062,1.05791796467906e-06,0.10548333304056
-1.0596,1.74642443161404e-06,0.109323806998199
-1.0572,2.87093396584073e-06,0.113415109180957
-1.0548,4.69656118018496e-06,0.117506411363715
-1.0524,7.64247829371731e-06,0.121597713546473
-1.05,1.23669450540117e-05,0.125935183372164
-1.0476,1.98965371723639e-05,0.130321886726441
-1.0452,3.18209641273141e-05,0.134708590080719
-1.0428,5.05842994846897e-05,0.139238056744208
-1.0404,7.99166952508458e-05,0.143910286716908
-1.038,0.000125468492916459,0.148582516689608
-1.0356,0.000195732967605132,0.153299974909697
-1.0332,0.000303377346789263,0.158243574366729
-1.0308,0.000467142022251889,0.163187173823761
-1.0284,0.000714524313434305,0.168130773280793
-1.026,0.00108552918307758,0.173285256188403
-1.0236,0.00163785224093358,0.178481915786128
-1.0212,0.00245395668896345,0.183678575383853
-1.0188,0.00365061433423573,0.188990666101171
-1.0164,0.00539159541980938,0.194418187938082
-1.014,0.00790430213839525,0.199845709774993
-1.0116,0.0115012289469694,0.205307426408306
-1.0092,0.0166071731152113,0.210940117023631
-1.0068,0.0237930746519493,0.216572807638956
-1.0044,0.0338171870201822,0.222205498254281
-1.002,0.0476739076656738,0.227985265478561
-0.9996,0.0666499603565564,0.233794448024631
-0.9972,0.0923866308961841,0.239603630570701
-0.9948,0.126945270217905,0.245485536561134
-0.9924,0.172870595124462,0.251440165995929
-0.99,0.233227566786942,0.257394795430725
-0.9876,0.312007128757008,0.263368213261714
-0.9852,0.406457890575925,0.269435573073678
-0.9828,0.496010731347827,0.275502932885642
-0.9804,0.575448111857563,0.281570292697605
-0.978,0.643951485831249,0.287703564873265
-0.9756,0.701184149883451,0.293850019521664
-0.9732,0.747357312104243,0.299996474170062
-0.9708,0.783159843465981,0.306165588611017
-0.9684,0.809617969254286,0.312357362844529
-0.966,0.82810314526243,0.31854913707804
-0.9636,0.840163979918928,0.324742941393302
-0.9612,0.847477943229319,0.330946896117315
-0.9588,0.8519413238507,0.337150850841329
-0.9564,0.854453725390616,0.343354805565343
-0.954,0.851909188094464,0.349542443450224
-0.9516,0.839582236892406,0.355726817967278
-0.9492,0.812811882465318,0.361911192484333
-0.9468,0.767570058789464,0.368070925868689
-0.9444,0.700656125447382,0.374206018120348
-0.942,0.621571615424826,0.380341110372006
-0.9396,0.549364056226298,0.386463480545065
-0.9372,0.48532335474159,0.392522240325122
-0.9348,0.429204489240333,0.398581000105179
-0.9324,0.380544293892278,0.404639759885237
-0.93,0.338790264772375,0.41061498215511
-0.9276,0.303306652201675,0.416573496922946
-0.9252,0.273462114951612,0.422532011690782
-0.9228,0.248614472234185,0.428430198368667
-0.9204,0.228111396895643,0.434268056956601
-0.918,0.211372364288572,0.440105915544534
-0.9156,0.197865616101852,0.44592088533489
-0.9132,0.187072913430008,0.451621411137361
-0.9108,0.178549788897565,0.457321936939832
