model,order,nMom,L1,Linf,symmetry_L1_rel,min_rho,runtime_s,n_steps,time_reference_s,time_model_build_s,time_quad_build_s,time_solver_total_s,time_step_sum_s,time_source_sum_s,time_flux_sum_s,time_flux_jacobian_sum_s,time_flux_reconstruct_sum_s,time_flux_limiter_flux_sum_s
MN,3,4,1.04862269397292,1.20322431574216,0,1e-08,26152.227755,936,0.335528,0.000371,0.012122,26152.227755,0,0,0,0,0,0
MN,7,8,0.837232741806105,1.15338208867602,0,1e-08,28160.590999,936,0.335528,0.00399,0.004944,28160.590999,0,0,0,0,0,0
MN,51,52,0.1343477080198,0.272482002223382,2.38228013556532e-26,9.99999999999999e-09,81711.919041,936,0.335528,0.00244,0.007441,81711.919041,0,0,0,0,0,0
PN,3,4,1.6436491340744,8.5890285781154,3.09696417623491e-25,9.99999999999994e-09,5640.735896,936,0.335528,0.001662,0.003699,5640.735896,0,0,0,0,0,0
PN,7,8,1.26809029674709,4.84732667521024,1.94552877737834e-25,1.00000000000001e-08,5845.706936,936,0.335528,0.001007,0.021094,5845.706936,0,0,0,0,0,0
PN,51,52,0.306990331017561,0.822081138194098,1.06408512721917e-24,1.00000000007714e-08,18919.140897,936,0.335528,0.000266,0.002796,18919.140897,0,0,0,0,0,0
HFMn,4,4,1.44118406732266,4.4265638134055,7.39842637517759e-17,1e-08,1440.464199,936,0.335528,0.01203,0.015282,1440.464199,0,0,0,0,0,0
HFMn,8,8,1.1528866820651,3.18449908741435,9.91526511916091e-17,1e-08,1756.281332,936,0.335528,0.003726,0.012615,1756.281332,0,0,0,0,0,0
HFMn,52,52,0.124529181688098,0.362689019609614,1.56090611383026e-16,1e-08,13100.34054,936,0.335528,0.005118,0.032952,13100.34054,0,0,0,0,0,0
HFPn,4,4,1.51805609708288,7.41439627780005,9.65218051140161e-17,1e-08,452.272808,936,0.335528,0.000362,0.00295,452.272808,0,0,0,0,0,0
HFPn,8,8,1.1863957546306,4.20175233368523,1.06426573680992e-16,1.33806579103145e-07,488.10261,936,0.335528,0.003223,0.009801,488.10261,0,0,0,0,0,0
HFPn,52,52,0.176704818898985,0.651454961319403,1.57864222096107e-16,5.58126971471914e-08,1404.228221,936,0.335528,0.005436,0.031313,1404.228221,0,0,0,0,0,0
PMMn,4,4,1.20844115034327,4.72353090977452,0,1e-08,2373.240515,936,0.335528,0.011742,0.004261,2373.240515,0,0,0,0,0,0
PMMn,8,8,0.491441489124276,0.935097269711232,1.29898435215492e-16,1e-08,4507.523277,936,0.335528,0.000351,0.007482,4507.523277,0,0,0,0,0,0
PMMn,52,52,0.186392649618509,0.775365552910016,1.70352925194299e-16,1e-08,16518.851304,936,0.335528,0.004324,0.016242,16518.851304,0,0,0,0,0,0
PMPn,4,4,1.60905505499353,7.58444375317421,0,1e-08,606.477544,936,0.335528,0.000432,0.001936,606.477544,0,0,0,0,0,0
PMPn,8,8,1.24338218513595,4.14242283407462,4.9946544001076e-17,1e-08,903.163182,936,0.335528,0.01016,0.010582,903.163182,0,0,0,0,0,0
PMPn,52,52,0.213305149323127,0.75799745164213,1.71547580681705e-16,1.00000000000599e-08,2144.345581,936,0.335528,0.003673,0.017203,2144.345581,0,0,0,0,0,0
