z,rho_model,rho_ref
-1.19,1e-08,0.00429213278877203
-1.17,1e-08,0.00787386522302921
-1.15,1.00000000000001e-08,0.0137810090990941
-1.13,1.00000000000003e-08,0.0230488554194902
-1.11,1.00000000000015e-08,0.036863454204392
-1.09,1.00000000000072e-08,0.0564211645653937
-1.07,1.00000000000339e-08,0.0827174447895659
-1.05,1.00000000001568e-08,0.116302142966425
-1.03,1.00000000007123e-08,0.157064848401241
-1.01,1.00000000031771e-08,0.204124212164374
-0.99,1.0000000013912e-08,0.255877609939418
-0.97,1.00000000598011e-08,0.310222290414678
-0.95,1.00000002523045e-08,0.364901250837628
-0.93,1.00000010447164e-08,0.417881088964653
-0.91,1.00000042453356e-08,0.467656813622903
-0.89,1.00000169305993e-08,0.513406657339437
-0.87,1.00000662658402e-08,0.554975329647431
-0.85,1.00002545113077e-08,0.592721335378053
-0.83,1.00009586368119e-08,0.627298989233851
-0.81,1.00035358518599e-08,0.659448305040425
-0.79,1.00127454968786e-08,0.689842368917891
-0.77,1.00449131761439e-08,0.719008457617421
-0.75,1.01557612662396e-08,0.747311916111352
-0.73,1.05374021866072e-08,0.774978714070528
-0.71,1.19900275527014e-08,0.802132840068021
-0.69,1.68596899888092e-08,0.828832350527434
-0.67,2.48332565123756e-08,0.855096740472735
-0.65,5.31243913594948e-08,0.880924664601672
-0.63,1.23081851490634e-07,0.906304091279423
-0.61,3.24553695176742e-07,0.931217595021221
-0.59,8.86937194966323e-07,0.955644948224915
-0.57,2.38061709590803e-06,0.979564373934563
-0.55,6.25138410338706e-06,1.00295318803642
-0.53,1.60086261795701e-05,1.02578817415969
-0.51,3.99089157413633e-05,1.04804583848858
-0.49,9.67603379183322e-05,1.06970260454289
-0.47,0.000227999680682081,1.09073497298152
-0.45,0.000521815264311484,1.11111965818071
-0.43,0.00115928041384126,1.13083370819268
-0.41,0.00249856166592002,1.14985461247609
-0.39,0.005221037914974,1.16816040069123
-0.37,0.0105710761184804,1.18572973527187
-0.35,0.0207254497653313,1.20254200024607
-0.33,0.0393220473894292,1.21857738877541
-0.31,0.0721506858670626,1.23381699224334
-0.29,0.127950831879166,1.24824289479735
-0.27,0.219165891100666,1.26183827517546
-0.25,0.362379059299303,1.27458753987501
-0.23,0.578032469197719,1.28647642189396
-0.21,0.88896860484894,1.29749234704895
-0.19,1.317409625733,1.30762430247164
-0.17,1.88027697862436,1.31686317659908
-0.15,2.58326667513961,1.32521043499924
-0.13,3.41474892057042,1.33261659184921
-0.11,4.34114721706713,1.33932740000673
-0.09,5.30568421283607,1.34433627259339
-0.07,6.23200252598371,1.35122838501185
-0.05,7.03310021962692,1.350950489546
-0.03,7.62447407369749,1.35133207362199
-0.01,7.93883234829861,1.44010519835741
0.01,7.93883234829861,1.44010519835741
0.03,7.62447407369749,1.35133207362199
0.05,7.03310021962692,1.35095048954599
0.07,6.23200252598371,1.35122838501185
0.09,5.30568421283607,1.34433627259339
0.11,4.34114721706713,1.33932740000673
0.13,3.41474892057042,1.33261659184921
0.15,2.58326667513961,1.32521043499924
0.17,1.88027697862436,1.31686317659908
0.19,1.317409625733,1.30762430247164
0.21,0.88896860484894,1.29749234704896
0.23,0.578032469197719,1.28647642189396
0.25,0.362379059299303,1.27458753987501
0.27,0.219165891100666,1.26183827517547
0.29,0.127950831879166,1.24824289479736
0.31,0.0721506858670626,1.23381699224334
0.33,0.0393220473894292,1.21857738877542
0.35,0.0207254497653313,1.20254200024608
0.37,0.0105710761184804,1.18572973527187
0.39,0.005221037914974,1.16816040069123
0.41,0.00249856166592002,1.14985461247609
0.43,0.00115928041384126,1.13083370819268
0.45,0.000521815264311484,1.1111196581807
0.47,0.000227999680682081,1.09073497298152
0.49,9.67603379183322e-05,1.06970260454289
0.51,3.99089157413633e-05,1.04804583848858
0.53,1.60086261795701e-05,1.02578817415969
0.55,6.25138410338706e-06,1.00295318803641
0.57,2.38061709590803e-06,0.979564373934558
0.59,8.86937194966323e-07,0.95564494822491
0.61,3.24553695176742e-07,0.931217595021215
0.63,1.23081851490634e-07,0.906304091279418
0.65,5.31243913594948e-08,0.880924664601666
0.67,2.48332565123756e-08,0.855096740472729
0.69,1.68596899888092e-08,0.828832350527429
0.71,1.19900275527014e-08,0.802132840068016
0.73,1.05374021866072e-08,0.774978714070524
0.75,1.01557612662396e-08,0.747311916111349
0.77,1.00449131761439e-08,0.719008457617418
0.79,1.00127454968786e-08,0.689842368917889
0.81,1.00035358518599e-08,0.659448305040423
0.83,1.00009586368119e-08,0.627298989233847
0.85,1.00002545113077e-08,0.59272133537805
0.87,1.00000662658402e-08,0.554975329647427
0.89,1.00000169305993e-08,0.513406657339433
0.91,1.00000042453356e-08,0.467656813622899
0.93,1.00000010447164e-08,0.417881088964648
0.95,1.00000002523045e-08,0.364901250837624
0.97,1.00000000598011e-08,0.310222290414674
0.99,1.0000000013912e-08,0.255877609939415
1.01,1.00000000031771e-08,0.204124212164372
1.03,1.00000000007123e-08,0.157064848401239
1.05,1.00000000001568e-08,0.116302142966423
1.07,1.00000000000339e-08,0.0827174447895647
1.09,1.00000000000072e-08,0.0564211645653929
1.11,1.00000000000015e-08,0.0368634542043915
1.13,1.00000000000003e-08,0.0230488554194898
1.15,1.00000000000001e-08,0.0137810090990939
1.17,1e-08,0.0078738652230291
1.19,1e-08,0.00429213278877196
