model,order,nMom,L1_paper,Linf_paper,sym_paper,minrho_paper,runtime_paper,steps_paper,L1_mcl,Linf_mcl,sym_mcl,minrho_mcl,runtime_mcl,steps_mcl,dL1_abs,dL1_rel,dLinf_abs,dRuntime_abs
HFMn,4,4,0.205090755402489,0.509633543735884,0.0113912249541725,1.0000001286701e-08,15.4356322,14,0.225327478165991,0.576506313895647,0.0308603718867779,1.00000007494397e-08,15.681206,14,0.0202367227635013,0.0986720377707266,0.0668727701597636,0.245573799999999
HFMn,8,8,0.248416775083109,0.759639043056281,0.0125520884213847,1.00000155624235e-08,32.9777171,14,0.244620020745327,0.707917891904657,0.039828722254387,1.00000408363913e-08,32.4775143,14,-0.00379675433778179,-0.0152838081748367,-0.0517211511516242,-0.500202799999997
HFPn,4,4,0.325595116978884,0.737113032932754,4.19740801312252e-11,1.00000119922298e-08,0.387323,14,0.306895700712112,0.683568895467987,8.14967561703465e-11,1.00031463554404e-08,0.8981682,14,-0.0186994162667717,-0.0574315009398143,-0.0535441374647667,0.5108452
HFPn,8,8,0.24699494240184,0.635677041894762,1.39648896753586e-10,1.0000004140336e-08,0.6891805,14,0.246130401919998,0.636188391650812,1.60201614542317e-10,1.00000064864761e-08,1.3081566,14,-0.000864540481841924,-0.00350023556529101,0.000511349756050272,0.6189761
MN,3,4,0.246796033048112,0.984943463909515,0.0541017004870902,1.00000310589387e-08,316.3485503,14,0.239247160825908,0.80738350580834,0.0115214356093028,1.00000133618041e-08,566.3127288,14,-0.00754887222220393,-0.0305874941706713,-0.177559958101175,249.9641785
PMMn,4,4,1.30264154609769,4.80026459984339,0.0603633588765665,1.00000015997464e-08,135.4271931,14,0.725266669809871,1.85303228416848,0.0339529073835867,1.0000023581162e-08,241.9371662,14,-0.577374876287817,-0.44323388734027,-2.94723231567491,106.5099731
PMPn,4,4,0.35995107894207,0.859007359110604,4.09692986729871e-11,1.00000001113519e-08,0.3967123,14,0.359951078967108,0.859007359036901,5.73372237924619e-11,1.00000001113519e-08,1.1362635,14,2.50381382294051e-11,6.95598365838896e-11,-7.37028216235558e-11,0.7395512
PMPn,8,8,0.239911085932671,0.709355906721655,2.65670999471297e-10,1.00000174009231e-08,0.6130016,14,0.239911817146268,0.709355849354512,5.51642971377972e-10,1.00000317193251e-08,1.3481153,14,7.31213596866231e-07,3.04785247427641e-06,-5.73671430359468e-08,0.7351137
PN,3,4,0.339608067759472,0.757577003142159,2.22483899760379e-10,1.00000007423395e-08,14.0787046,14,0.339263525411855,0.757188201726219,1.57578468236163e-10,1.00000006300602e-08,406.9479633,14,-0.000344542347617327,-0.00101452933639183,-0.000388801415940554,392.8692587
PN,7,8,0.251266067430772,0.576576940252477,2.16891507415539e-06,1.0000005154493e-08,16.338552,14,0.250312350803314,0.576312116057032,1.25623031322136e-10,1.00000035034798e-08,431.4645731,14,-0.00095371662745819,-0.00379564434310636,-0.000264824195444824,415.1260211
