z,rho_model,rho_ref
-1.175,1.00000007494397e-08,9.99999999999999e-09
-1.125,1.00000268087119e-08,9.99999999999999e-09
-1.075,1.00007816284058e-08,9.99999999999999e-09
-1.025,1.00165849613944e-08,9.99999999999999e-09
-0.975,1.02704368626356e-08,9.99999999999999e-09
-0.925,1.33222168992735e-08,1.00000000000017e-08
-0.875,5.09729024751598e-08,1.00000000015184e-08
-0.825,2.9716313812565e-07,1.00000006463391e-08
-0.775,1.75307583788102e-06,1.0000212303132e-08
-0.725,1.24235450254682e-05,1.00332552242267e-08
-0.675,8.078882456224e-05,1.38986416318073e-08
-0.625,0.000477807132145191,2.66622379771597e-07
-0.575,0.00252021789424556,1.04334001647228e-05
-0.525,0.0118505722800817,0.000271395969170165
-0.475,0.0492996946853496,0.00410754513746899
-0.425,0.176794363079856,0.0402108486842403
-0.375,0.523249635197048,0.230917177257135
-0.325,0.973881456315451,0.817003403098814
-0.275,1.46245643297416,1.80700768685402
-0.225,2.15524232480349,2.72609409083649
-0.175,3.18016950228023,3.23475704940748
-0.125,3.57212879203298,3.48377343915773
-0.075,3.67859403256502,3.63494372031061
-0.025,4.33949642727624,3.76299011338059
0.025,4.25039143784563,3.76299011338061
0.075,3.44104984458635,3.63494372031061
0.125,3.46762360744642,3.48377343915773
0.175,3.19495364980722,3.23475704940748
0.225,2.25574759265821,2.72609409083649
0.275,1.50183003339989,1.80700768685401
0.325,0.989768715564306,0.817003403098811
0.375,0.535046687002972,0.230917177257134
0.425,0.174910210768686,0.0402108486842402
0.475,0.0479305951247751,0.00410754513746897
0.525,0.0114876271579778,0.000271395969170164
0.575,0.00244617738934805,1.04334001647227e-05
0.625,0.00046469228132864,2.66622379771595e-07
0.675,7.87191383019035e-05,1.38986416318073e-08
0.725,1.21320648478881e-05,1.00332552242267e-08
0.775,1.71635870965451e-06,1.0000212303132e-08
0.825,2.9186364241182e-07,1.00000006463391e-08
0.875,5.02705584369421e-08,1.00000000015184e-08
0.925,1.32745914127034e-08,1.00000000000017e-08
0.975,1.02700168747827e-08,9.99999999999999e-09
1.025,1.00173972975254e-08,9.99999999999999e-09
1.075,1.00009316490171e-08,9.99999999999999e-09
1.125,1.00000401688521e-08,9.99999999999999e-09
1.175,1.00000014122115e-08,9.99999999999999e-09
