z,rho_model,rho_ref
-1.175,1.00000064864761e-08,9.99999999999999e-09
-1.125,1.00001292624831e-08,9.99999999999999e-09
-1.075,1.0002088381846e-08,9.99999999999999e-09
-1.025,1.00302142285702e-08,9.99999999999999e-09
-0.975,1.04281600277071e-08,9.99999999999999e-09
-0.925,1.65745236340124e-08,1.00000000000017e-08
-0.875,8.15270964393505e-08,1.00000000015184e-08
-0.825,8.12223746416102e-07,1.00000006463391e-08
-0.775,4.15369538907688e-06,1.0000212303132e-08
-0.725,1.99784823931867e-05,1.00332552242267e-08
-0.675,9.07283500023926e-05,1.38986416318073e-08
-0.625,0.000543268383054572,2.66622379771597e-07
-0.575,0.00270922946683569,1.04334001647228e-05
-0.525,0.0121152753006274,0.000271395969170165
-0.475,0.0482487754652162,0.00410754513746899
-0.425,0.170374185079112,0.0402108486842403
-0.375,0.487537550814842,0.230917177257135
-0.325,0.988232725374101,0.817003403098814
-0.275,1.64928318519631,1.80700768685402
-0.225,2.32383454822499,2.72609409083649
-0.175,2.95449934478204,3.23475704940748
-0.125,3.2223196560277,3.48377343915773
-0.075,3.74100816954334,3.63494372031061
-0.025,4.3991785050314,3.76299011338059
0.025,4.39917850501891,3.76299011338061
0.075,3.74100816941469,3.63494372031061
0.125,3.2223196566935,3.48377343915773
0.175,2.95449934571055,3.23475704940748
0.225,2.32383454794881,2.72609409083649
0.275,1.64928318467913,1.80700768685401
0.325,0.988232724825622,0.817003403098811
0.375,0.487537550734324,0.230917177257134
0.425,0.170374185037336,0.0402108486842402
0.475,0.0482487754684306,0.00410754513746897
0.525,0.0121152753017538,0.000271395969170164
0.575,0.00270922946686521,1.04334001647227e-05
0.625,0.000543268383005898,2.66622379771595e-07
0.675,9.07283499875648e-05,1.38986416318073e-08
0.725,1.99784823838473e-05,1.00332552242267e-08
0.775,4.15369538774342e-06,1.0000212303132e-08
0.825,8.12223745288288e-07,1.00000006463391e-08
0.875,8.15270961996435e-08,1.00000000015184e-08
0.925,1.65745236086112e-08,1.00000000000017e-08
0.975,1.04281600274966e-08,9.99999999999999e-09
1.025,1.0030214228563e-08,9.99999999999999e-09
1.075,1.00020883818458e-08,9.99999999999999e-09
1.125,1.00001292624831e-08,9.99999999999999e-09
1.175,1.00000064864761e-08,9.99999999999999e-09
