z,rho_model,rho_ref
-1.175,1.00000316088842e-08,9.99999999999999e-09
-1.125,1.0001060764026e-08,9.99999999999999e-09
-1.075,1.00258375140256e-08,9.99999999999999e-09
-1.025,1.04531798375391e-08,9.99999999999999e-09
-0.975,1.59162144117437e-08,9.99999999999999e-09
-0.925,8.07037481178425e-08,1.00000000000017e-08
-0.875,4.02171145490653e-07,1.00000000015184e-08
-0.825,1.09957884527498e-06,1.00000006463391e-08
-0.775,3.82989845478012e-06,1.0000212303132e-08
-0.725,1.90206021551515e-05,1.00332552242267e-08
-0.675,0.000113739167649497,1.38986416318073e-08
-0.625,0.000632796006435686,2.66622379771597e-07
-0.575,0.00312753695157166,1.04334001647228e-05
-0.525,0.0135932262563225,0.000271395969170165
-0.475,0.0518722596599661,0.00410754513746899
-0.425,0.175346191880443,0.0402108486842403
-0.375,0.456793558291855,0.230917177257135
-0.325,0.957376111115638,0.817003403098814
-0.275,1.58308766769889,1.80700768685402
-0.225,2.51460137930902,2.72609409083649
-0.175,3.09826902519906,3.23475704940748
-0.125,3.16362700064124,3.48377343915773
-0.075,3.43116841763374,3.63494372031061
-0.025,4.57037361918893,3.76299011338059
0.025,4.56155715140274,3.76299011338061
0.075,3.43445279902815,3.63494372031061
0.125,3.24559415641405,3.48377343915773
0.175,3.10822468607374,3.23475704940748
0.225,2.5006696210383,2.72609409083649
0.275,1.55889856778893,1.80700768685401
0.325,0.908222904177089,0.817003403098811
0.375,0.441520445234075,0.230917177257134
0.425,0.161426879040067,0.0402108486842402
0.475,0.0450378922057348,0.00410754513746897
0.525,0.0112666887290999,0.000271395969170164
0.575,0.00251048691381442,1.04334001647227e-05
0.625,0.000500450053206427,2.66622379771595e-07
0.675,9.01898793649093e-05,1.38986416318073e-08
0.725,1.50769965453893e-05,1.00332552242267e-08
0.775,4.20495266665632e-06,1.0000212303132e-08
0.825,8.0542267826585e-07,1.00000006463391e-08
0.875,3.13170400321609e-07,1.00000000015184e-08
0.925,8.43802283089065e-08,1.00000000000017e-08
0.975,1.81976379889641e-08,9.99999999999999e-09
1.025,1.05182616549734e-08,9.99999999999999e-09
1.075,1.00308870250499e-08,9.99999999999999e-09
1.125,1.0000843575521e-08,9.99999999999999e-09
1.175,1.00000133618041e-08,9.99999999999999e-09
