z,rho_model,rho_ref
-1.175,1.0000023581162e-08,9.99999999999999e-09
-1.125,1.00022603208008e-08,9.99999999999999e-09
-1.075,1.01373627542865e-08,9.99999999999999e-09
-1.025,1.1510935056965e-08,9.99999999999999e-09
-0.975,2.57510322044377e-08,9.99999999999999e-09
-0.925,1.49993336134169e-07,1.00000000000017e-08
-0.875,1.02674710566898e-06,1.00000000015184e-08
-0.825,6.33007131331499e-06,1.00000006463391e-08
-0.775,3.38611081168732e-05,1.0000212303132e-08
-0.725,0.000156725506082518,1.00332552242267e-08
-0.675,0.000622245802691249,1.38986416318073e-08
-0.625,0.0021434666770343,2.66622379771597e-07
-0.575,0.00645180909052325,1.04334001647228e-05
-0.525,0.0172392802042276,0.000271395969170165
-0.475,0.0344636190540121,0.00410754513746899
-0.425,0.070049509519536,0.0402108486842403
-0.375,0.160624936478333,0.230917177257135
-0.325,0.351562131726434,0.817003403098814
-0.275,0.741116527734984,1.80700768685402
-0.225,1.44337148141983,2.72609409083649
-0.175,2.64939499836728,3.23475704940748
-0.125,4.48342561507195,3.48377343915773
-0.075,5.44294136160235,3.63494372031061
-0.025,4.6809018563076,3.76299011338059
0.025,4.33592685336046,3.76299011338061
0.075,5.48797600447909,3.63494372031061
0.125,4.64799593826746,3.48377343915773
0.175,2.67312075452139,3.23475704940748
0.225,1.41639886528904,2.72609409083649
0.275,0.705911281894874,1.80700768685401
0.325,0.338148129278843,0.817003403098811
0.375,0.157155966049381,0.230917177257134
0.425,0.0785792096036107,0.0402108486842402
0.475,0.0419749954376039,0.00410754513746897
0.525,0.0209921049944279,0.000271395969170164
0.575,0.00780753709353694,1.04334001647227e-05
0.625,0.00253231823790449,2.66622379771595e-07
0.675,0.000729961214611707,1.38986416318073e-08
0.725,0.000188534593919249,1.00332552242267e-08
0.775,4.37455045789426e-05,1.0000212303132e-08
0.825,9.14948693954981e-06,1.00000006463391e-08
0.875,1.72981886282914e-06,1.00000000015184e-08
0.925,3.01331334867378e-07,1.00000000000017e-08
0.975,5.47573981750727e-08,9.99999999999999e-09
1.025,1.39414280350731e-08,9.99999999999999e-09
1.075,1.09243498437761e-08,9.99999999999999e-09
1.125,1.00332129502394e-08,9.99999999999999e-09
1.175,1.00013493242886e-08,9.99999999999999e-09
