z,rho_model,rho_ref
-1.175,1.00000001113519e-08,9.99999999999999e-09
-1.125,1.00000030085765e-08,9.99999999999999e-09
-1.075,1.00000662334961e-08,9.99999999999999e-09
-1.025,1.00012462363979e-08,9.99999999999999e-09
-0.975,1.00202974286305e-08,9.99999999999999e-09
-0.925,1.02888426176864e-08,1.00000000000017e-08
-0.875,1.3616133305833e-08,1.00000000015184e-08
-0.825,5.00252779764159e-08,1.00000006463391e-08
-0.775,4.02994343040402e-07,1.0000212303132e-08
-0.725,3.43970281677909e-06,1.00332552242267e-08
-0.675,2.6632394659387e-05,1.38986416318073e-08
-0.625,0.000183703041599076,2.66622379771597e-07
-0.575,0.00112419425358497,1.04334001647228e-05
-0.525,0.00607937983447106,0.000271395969170165
-0.475,0.0288918892904579,0.00410754513746899
-0.425,0.119653483336459,0.0402108486842403
-0.375,0.428303817408348,0.230917177257135
-0.325,1.19130456390417,0.817003403098814
-0.275,1.89131017596994,1.80700768685402
-0.225,2.2552537070677,2.72609409083649
-0.175,2.49929909340007,3.23475704940748
-0.125,3.01927286232555,3.48377343915773
-0.075,3.93729529897909,3.63494372031061
-0.025,4.62199747218629,3.76299011338059
0.025,4.62199747241751,3.76299011338061
0.075,3.93729529887253,3.63494372031061
0.125,3.0192728620631,3.48377343915773
0.175,2.49929909324066,3.23475704940748
0.225,2.25525370698682,2.72609409083649
0.275,1.89131017623515,1.80700768685401
0.325,1.19130456390585,0.817003403098811
0.375,0.42830381744217,0.230917177257134
0.425,0.119653483333645,0.0402108486842402
0.475,0.0288918892884841,0.00410754513746897
0.525,0.00607937983390607,0.000271395969170164
0.575,0.00112419425346467,1.04334001647227e-05
0.625,0.000183703041577275,2.66622379771595e-07
0.675,2.66323946559294e-05,1.38986416318073e-08
0.725,3.43970281629999e-06,1.00332552242267e-08
0.775,4.0299434298294e-07,1.0000212303132e-08
0.825,5.00252779705025e-08,1.00000006463391e-08
0.875,1.3616133305315e-08,1.00000000015184e-08
0.925,1.02888426176482e-08,1.00000000000017e-08
0.975,1.00202974286281e-08,9.99999999999999e-09
1.025,1.00012462363978e-08,9.99999999999999e-09
1.075,1.00000662334961e-08,9.99999999999999e-09
1.125,1.00000030085765e-08,9.99999999999999e-09
1.175,1.00000001113519e-08,9.99999999999999e-09
