z,rho_model,rho_ref
-1.175,1.00000035034798e-08,9.99999999999999e-09
-1.125,1.00000757902632e-08,9.99999999999999e-09
-1.075,1.00013273322423e-08,9.99999999999999e-09
-1.025,1.00198948032372e-08,9.99999999999999e-09
-0.975,1.02585613480283e-08,9.99999999999999e-09
-0.925,1.29424019741759e-08,1.00000000000017e-08
-0.875,3.95330582705982e-08,1.00000000015184e-08
-0.825,2.7285379500254e-07,1.00000006463391e-08
-0.775,2.0931142113436e-06,1.0000212303132e-08
-0.725,1.474431935142e-05,1.00332552242267e-08
-0.675,9.31659699314224e-05,1.38986416318073e-08
-0.625,0.000526574463880948,2.66622379771597e-07
-0.575,0.00265893917981621,1.04334001647228e-05
-0.525,0.0119694848500361,0.000271395969170165
-0.475,0.0477508963153694,0.00410754513746899
-0.425,0.170544676538196,0.0402108486842403
-0.375,0.47904388014164,0.230917177257135
-0.325,1.00394590459245,0.817003403098814
-0.275,1.61718389559348,1.80700768685402
-0.225,2.38753679342793,2.72609409083649
-0.175,2.87906928317574,3.23475704940748
-0.125,3.24523701820655,3.48377343915773
-0.075,3.81512028535976,3.63494372031061
-0.025,4.33930222943762,3.76299011338059
0.025,4.33930222932055,3.76299011338061
0.075,3.81512028603487,3.63494372031061
0.125,3.24523701815528,3.48377343915773
0.175,2.87906928293328,3.23475704940748
0.225,2.38753679371396,2.72609409083649
0.275,1.61718389522365,1.80700768685401
0.325,1.00394590412393,0.817003403098811
0.375,0.479043880085881,0.230917177257134
0.425,0.170544676374702,0.0402108486842402
0.475,0.0477508962552783,0.00410754513746897
0.525,0.0119694848323097,0.000271395969170164
0.575,0.00265893917569307,1.04334001647227e-05
0.625,0.000526574463059469,2.66622379771595e-07
0.675,9.31659697865725e-05,1.38986416318073e-08
0.725,1.47443193287349e-05,1.00332552242267e-08
0.775,2.09311420819846e-06,1.0000212303132e-08
0.825,2.72853794620182e-07,1.00000006463391e-08
0.875,3.95330582301206e-08,1.00000000015184e-08
0.925,1.29424019704616e-08,1.00000000000017e-08
0.975,1.02585613477333e-08,9.99999999999999e-09
1.025,1.0019894803217e-08,9.99999999999999e-09
1.075,1.00013273322411e-08,9.99999999999999e-09
1.125,1.00000757902631e-08,9.99999999999999e-09
1.175,1.00000035034798e-08,9.99999999999999e-09
