model,order,nMom,L1,Linf,symmetry_L1_rel,min_rho,runtime_s,n_steps
PN,3,4,0.339263525411855,0.757188201726219,1.57578468236163e-10,1.00000006300602e-08,406.9479633,14
PN,7,8,0.250312350803314,0.576312116057032,1.25623031322136e-10,1.00000035034798e-08,431.4645731,14
MN,3,4,0.239247160825908,0.80738350580834,0.0115214356093028,1.00000133618041e-08,566.3127288,14
HFPn,4,4,0.306895700712112,0.683568895467987,8.14967561703465e-11,1.00031463554404e-08,0.8981682,14
HFPn,8,8,0.246130401919998,0.636188391650812,1.60201614542317e-10,1.00000064864761e-08,1.3081566,14
HFMn,4,4,0.225327478165991,0.576506313895647,0.0308603718867779,1.00000007494397e-08,15.681206,14
HFMn,8,8,0.244620020745327,0.707917891904657,0.039828722254387,1.00000408363913e-08,32.4775143,14
PMPn,4,4,0.359951078967108,0.859007359036901,5.73372237924619e-11,1.00000001113519e-08,1.1362635,14
PMPn,8,8,0.239911817146268,0.709355849354512,5.51642971377972e-10,1.00000317193251e-08,1.3481153,14
PMMn,4,4,0.725266669809871,1.85303228416848,0.0339529073835867,1.0000023581162e-08,241.9371662,14
