mu,psi_ref,psi_hat
-1,5e-09,5.0000000035843e-09
-0.999,5e-09,5.00000000358094e-09
-0.998,5e-09,5.00000000357756e-09
-0.997,5e-09,5.00000000357421e-09
-0.996,5e-09,5.00000000357083e-09
-0.995,5e-09,5.00000000356747e-09
-0.994,5e-09,5.0000000035641e-09
-0.993,5e-09,5.00000000356074e-09
-0.992,5e-09,5.00000000355737e-09
-0.991,5e-09,5.00000000355399e-09
-0.99,5e-09,5.00000000355063e-09
-0.989,5e-09,5.00000000354728e-09
-0.988,5e-09,5.00000000354392e-09
-0.987,5e-09,5.00000000354055e-09
-0.986,5e-09,5.00000000353717e-09
-0.985,5e-09,5.00000000353381e-09
-0.984,5e-09,5.00000000353044e-09
-0.983,5e-09,5.00000000352708e-09
-0.982,5e-09,5.00000000352372e-09
-0.981,5e-09,5.00000000352037e-09
-0.98,5e-09,5.00000000351699e-09
-0.979,5e-09,5.00000000351362e-09
-0.978,5e-09,5.00000000351026e-09
-0.977,5e-09,5.0000000035069e-09
-0.976,5e-09,5.00000000350353e-09
-0.975,5e-09,5.00000000350015e-09
-0.974,5e-09,5.00000000349678e-09
-0.973,5e-09,5.00000000349344e-09
-0.972,5e-09,5.00000000349006e-09
-0.971,5e-09,5.00000000348669e-09
-0.97,5e-09,5.00000000348333e-09
-0.969,5e-09,5.00000000347997e-09
-0.968,5e-09,5.0000000034766e-09
-0.967,5e-09,5.00000000347322e-09
-0.966,5e-09,5.00000000346986e-09
-0.965,5e-09,5.00000000346651e-09
-0.964,5e-09,5.00000000346313e-09
-0.963,5e-09,5.00000000345977e-09
-0.962,5e-09,5.0000000034564e-09
-0.961,5e-09,5.00000000345302e-09
-0.96,5e-09,5.00000000344967e-09
-0.959,5e-09,5.00000000344631e-09
-0.958,5e-09,5.00000000344295e-09
-0.957,5e-09,5.00000000343958e-09
-0.956,5e-09,5.0000000034362e-09
-0.955,5e-09,5.00000000344032e-09
-0.954,5e-09,5.00000000345041e-09
-0.953,5e-09,5.00000000346052e-09
-0.952,5e-09,5.00000000347061e-09
-0.951,5e-09,5.0000000034807e-09
-0.95,5e-09,5.00000000349081e-09
-0.949,5e-09,5.00000000350091e-09
-0.948,5e-09,5.000000003511e-09
-0.947,5e-09,5.00000000352109e-09
-0.946,5e-09,5.0000000035312e-09
-0.945,5e-09,5.00000000354129e-09
-0.944,5e-09,5.00000000355142e-09
-0.943,5e-09,5.00000000356151e-09
-0.942,5e-09,5.0000000035716e-09
-0.941,5e-09,5.00000000358169e-09
-0.94,5e-09,5.00000000359178e-09
-0.939,5e-09,5.0000000036019e-09
-0.938,5e-09,5.00000000361199e-09
-0.937,5e-09,5.00000000362208e-09
-0.936,5e-09,5.00000000363217e-09
-0.935,5e-09,5.00000000364226e-09
-0.934,5e-09,5.00000000365238e-09
-0.933,5e-09,5.00000000366247e-09
-0.932,5e-09,5.00000000367256e-09
-0.931,5e-09,5.00000000368267e-09
-0.93,5e-09,5.00000000369276e-09
-0.929,5e-09,5.00000000370287e-09
-0.928,5e-09,5.00000000371296e-09
-0.927,5e-09,5.00000000372305e-09
-0.926,5e-09,5.00000000373317e-09
-0.925,5e-09,5.00000000374326e-09
-0.924,5e-09,5.00000000375335e-09
-0.923,5e-09,5.00000000376346e-09
-0.922,5e-09,5.00000000377357e-09
-0.921,5e-09,5.00000000378366e-09
-0.92,5e-09,5.00000000379375e-09
-0.919,5e-09,5.00000000380384e-09
-0.918,5e-09,5.00000000381393e-09
-0.917,5e-09,5.00000000382405e-09
-0.916,5e-09,5.00000000383414e-09
-0.915,5e-09,5.00000000384423e-09
-0.914,5e-09,5.00000000385434e-09
-0.913,5e-09,5.00000000386443e-09
-0.912,5e-09,5.00000000387452e-09
-0.911,5e-09,5.0000000038794e-09
-0.91,5e-09,5.00000000384237e-09
-0.909,5e-09,5.00000000380533e-09
-0.908,5e-09,5.00000000376833e-09
-0.907,5e-09,5.00000000373127e-09
-0.906,5e-09,5.00000000369425e-09
-0.905,5e-09,5.00000000365725e-09
-0.904,5e-09,5.00000000362021e-09
-0.903,5e-09,5.00000000358318e-09
-0.902,5e-09,5.00000000354616e-09
-0.901,5e-09,5.00000000350914e-09
-0.9,5e-09,5.0000000034721e-09
-0.899,5e-09,5.00000000343508e-09
-0.898,5e-09,5.00000000339805e-09
-0.897,5e-09,5.00000000336103e-09
-0.896,5e-09,5.00000000332401e-09
-0.895,5e-09,5.00000000328699e-09
-0.894,5e-09,5.00000000324995e-09
-0.893,5e-09,5.00000000321291e-09
-0.892,5e-09,5.00000000317589e-09
-0.891,5e-09,5.00000000313888e-09
-0.89,5e-09,5.00000000310186e-09
-0.889,5e-09,5.00000000306482e-09
-0.888,5e-09,5.0000000030278e-09
-0.887,5e-09,5.00000000299076e-09
-0.886,5e-09,5.00000000295374e-09
-0.885,5e-09,5.00000000291672e-09
-0.884,5e-09,5.00000000287971e-09
-0.883,5e-09,5.00000000284267e-09
-0.882,5e-09,5.00000000280565e-09
-0.881,5e-09,5.00000000276861e-09
-0.88,5e-09,5.00000000273157e-09
-0.879,5e-09,5.00000000269457e-09
-0.878,5e-09,5.00000000265754e-09
-0.877,5e-09,5.0000000026205e-09
-0.876,5e-09,5.00000000258348e-09
-0.875,5e-09,5.00000000254646e-09
-0.874,5e-09,5.00000000250942e-09
-0.873,5e-09,5.0000000024724e-09
-0.872,5e-09,5.00000000243539e-09
-0.871,5e-09,5.00000000239835e-09
-0.87,5e-09,5.00000000236133e-09
-0.869,5e-09,5.00000000232429e-09
-0.868,5e-09,5.00000000228727e-09
-0.867,5e-09,5.00000000225025e-09
-0.866,5e-09,5.00000000232992e-09
-0.865,5e-09,5.00000000246791e-09
-0.864,5e-09,5.00000000260592e-09
-0.863,5e-09,5.00000000274392e-09
-0.862,5e-09,5.00000000288193e-09
-0.861,5e-09,5.00000000301993e-09
-0.86,5e-09,5.00000000315794e-09
-0.859,5e-09,5.00000000329594e-09
-0.858,5e-09,5.00000000343395e-09
-0.857,5e-09,5.00000000357195e-09
-0.856,5e-09,5.00000000370996e-09
-0.855,5e-09,5.00000000384796e-09
-0.854,5e-09,5.00000000398597e-09
-0.853,5e-09,5.00000000412397e-09
-0.852,5e-09,5.00000000426198e-09
-0.851,5e-09,5.00000000439998e-09
-0.85,5e-09,5.00000000453799e-09
-0.849,5e-09,5.00000000467599e-09
-0.848,5e-09,5.00000000481398e-09
-0.847,5e-09,5.000000004952e-09
-0.846,5e-09,5.00000000508999e-09
-0.845,5e-09,5.00000000522801e-09
-0.844,5e-09,5.00000000536602e-09
-0.843,5e-09,5.00000000550402e-09
-0.842,5e-09,5.00000000564201e-09
-0.841,5e-09,5.00000000578003e-09
-0.84,5e-09,5.00000000591804e-09
-0.839,5e-09,5.00000000605604e-09
-0.838,5e-09,5.00000000619403e-09
-0.837,5e-09,5.00000000633205e-09
-0.836,5e-09,5.00000000647006e-09
-0.835,5e-09,5.00000000660806e-09
-0.834,5e-09,5.00000000674607e-09
-0.833,5e-09,5.00000000688408e-09
-0.832,5e-09,5.00000000702208e-09
-0.831,5e-09,5.00000000716009e-09
-0.83,5e-09,5.00000000729807e-09
-0.829,5e-09,5.00000000743608e-09
-0.828,5e-09,5.00000000757408e-09
-0.827,5e-09,5.00000000771211e-09
-0.826,5e-09,5.00000000785009e-09
-0.825,5e-09,5.00000000798812e-09
-0.824,5e-09,5.00000000812612e-09
-0.823,5e-09,5.00000000826411e-09
-0.822,5e-09,5.000000008257e-09
-0.821,5e-09,5.00000000774202e-09
-0.82,5e-09,5.00000000722702e-09
-0.819,5e-09,5.00000000671202e-09
-0.818,5e-09,5.00000000619703e-09
-0.817,5e-09,5.00000000568203e-09
-0.816,5e-09,5.00000000516705e-09
-0.815,5e-09,5.00000000465207e-09
