mu,psi_ref,psi_hat
-1,5e-09,0.0307312136276437
-0.999,5e-09,0.0305929231888193
-0.998,5e-09,0.0304546327499949
-0.997,5e-09,0.0303163423111705
-0.996,5e-09,0.0301780518723461
-0.995,5e-09,0.0300397614335217
-0.994,5e-09,0.0299014709946973
-0.993,5e-09,0.0297631805558729
-0.992,5e-09,0.0296248901170485
-0.991,5e-09,0.0294865996782241
-0.99,5e-09,0.0293483092393997
-0.989,5e-09,0.0292100188005753
-0.988,5e-09,0.0290717283617509
-0.987,5e-09,0.0289334379229265
-0.986,5e-09,0.0287951474841021
-0.985,5e-09,0.0286568570452777
-0.984,5e-09,0.0285185666064533
-0.983,5e-09,0.0283802761676289
-0.982,5e-09,0.0282419857288045
-0.981,5e-09,0.0281036952899801
-0.98,5e-09,0.0279654048511558
-0.979,5e-09,0.0278271144123314
-0.978,5e-09,0.027688823973507
-0.977,5e-09,0.0275505335346826
-0.976,5e-09,0.0274122430958582
-0.975,5e-09,0.0272739526570338
-0.974,5e-09,0.0271356622182094
-0.973,5e-09,0.026997371779385
-0.972,5e-09,0.0268590813405606
-0.971,5e-09,0.0267207909017362
-0.97,5e-09,0.0265825004629118
-0.969,5e-09,0.0264442100240874
-0.968,5e-09,0.026305919585263
-0.967,5e-09,0.0261676291464386
-0.966,5e-09,0.0260293387076142
-0.965,5e-09,0.0258910482687898
-0.964,5e-09,0.0257527578299654
-0.963,5e-09,0.025614467391141
-0.962,5e-09,0.0254761769523166
-0.961,5e-09,0.0253378865134922
-0.96,5e-09,0.0251995960746678
-0.959,5e-09,0.0250613056358434
-0.958,5e-09,0.024923015197019
-0.957,5e-09,0.0247847247581946
-0.956,5e-09,0.0246464343193702
-0.955,5e-09,0.0245081438805459
-0.954,5e-09,0.0243698534417215
-0.953,5e-09,0.0242315630028971
-0.952,5e-09,0.0240932725640727
-0.951,5e-09,0.0239549821252483
-0.95,5e-09,0.0238166916864239
-0.949,5e-09,0.0236784012475995
-0.948,5e-09,0.0235401108087751
-0.947,5e-09,0.0234018203699507
-0.946,5e-09,0.0232635299311263
