mu,psi_ref,psi_hat
-1,5e-09,5.72473818988928e-09
-0.999,5e-09,5.72689411701434e-09
-0.998,5e-09,5.72905085605807e-09
-0.997,5e-09,5.73120840732623e-09
-0.996,5e-09,5.73336677112469e-09
-0.995,5e-09,5.73552594775947e-09
-0.994,5e-09,5.73768593753667e-09
-0.993,5e-09,5.73984674076251e-09
-0.992,5e-09,5.74200835774335e-09
-0.991,5e-09,5.74417078878565e-09
-0.99,5e-09,5.74633403419597e-09
-0.989,5e-09,5.748498094281e-09
-0.988,5e-09,5.75066296934755e-09
-0.987,5e-09,5.75282865970255e-09
-0.986,5e-09,5.75499516565303e-09
-0.985,5e-09,5.75716248750613e-09
-0.984,5e-09,5.75933062556913e-09
-0.983,5e-09,5.76149958014942e-09
-0.982,5e-09,5.76366935155448e-09
-0.981,5e-09,5.76583994009194e-09
-0.98,5e-09,5.76801134606953e-09
-0.979,5e-09,5.77018356979508e-09
-0.978,5e-09,5.77235661157657e-09
-0.977,5e-09,5.77453047172208e-09
-0.976,5e-09,5.77670515053979e-09
-0.975,5e-09,5.77888064833802e-09
-0.974,5e-09,5.78105696542522e-09
-0.973,5e-09,5.78323410210988e-09
-0.972,5e-09,5.7854120587007e-09
-0.971,5e-09,5.78759083550643e-09
-0.97,5e-09,5.78977043283598e-09
-0.969,5e-09,5.79195085099835e-09
-0.968,5e-09,5.79413209030267e-09
-0.967,5e-09,5.79631415105817e-09
-0.966,5e-09,5.79849703357422e-09
-0.965,5e-09,5.80068073816029e-09
-0.964,5e-09,5.80286526512596e-09
-0.963,5e-09,5.80505061478096e-09
-0.962,5e-09,5.80723678743508e-09
-0.961,5e-09,5.80942378339829e-09
-0.96,5e-09,5.81161160298064e-09
-0.959,5e-09,5.81380024649229e-09
-0.958,5e-09,5.81598971424354e-09
-0.957,5e-09,5.8181800065448e-09
-0.956,5e-09,5.82037112370659e-09
-0.955,5e-09,5.82256306603955e-09
-0.954,5e-09,5.82475583385445e-09
-0.953,5e-09,5.82694942746215e-09
-0.952,5e-09,5.82914384717364e-09
-0.951,5e-09,5.83133909330005e-09
-0.95,5e-09,5.83353516615258e-09
-0.949,5e-09,5.8357320660426e-09
-0.948,5e-09,5.83792979328157e-09
-0.947,5e-09,5.84012834818104e-09
-0.946,5e-09,5.84232773105272e-09
-0.945,5e-09,5.84452794220843e-09
-0.944,5e-09,5.8467289819601e-09
-0.943,5e-09,5.84893085061976e-09
-0.942,5e-09,5.8511335484996e-09
-0.941,5e-09,5.85333707591189e-09
-0.94,5e-09,5.85554143316903e-09
-0.939,5e-09,5.85774662058354e-09
-0.938,5e-09,5.85995263846805e-09
-0.937,5e-09,5.86215948713533e-09
-0.936,5e-09,5.86436716689824e-09
-0.935,5e-09,5.86657567806977e-09
-0.934,5e-09,5.86878502096303e-09
-0.933,5e-09,5.87099519589125e-09
-0.932,5e-09,5.87320620316775e-09
-0.931,5e-09,5.87541804310602e-09
-0.93,5e-09,5.87763071601962e-09
-0.929,5e-09,5.87984422222226e-09
-0.928,5e-09,5.88205856202774e-09
-0.927,5e-09,5.88427373575001e-09
-0.926,5e-09,5.88648974370311e-09
-0.925,5e-09,5.88870658620121e-09
-0.924,5e-09,5.89092426355861e-09
-0.923,5e-09,5.89314277608971e-09
-0.922,5e-09,5.89536212410905e-09
-0.921,5e-09,5.89758230793124e-09
-0.92,5e-09,5.89980332787105e-09
-0.919,5e-09,5.90202518424338e-09
-0.918,5e-09,5.90424787736322e-09
-0.917,5e-09,5.90647140754568e-09
-0.916,5e-09,5.90869577510601e-09
-0.915,5e-09,5.91092098035955e-09
-0.914,5e-09,5.91314702362179e-09
-0.913,5e-09,5.85167882617513e-09
-0.912,5e-09,5.85168332916699e-09
-0.911,5e-09,5.85168783216229e-09
-0.91,5e-09,5.85169233516108e-09
-0.909,5e-09,5.85169683816331e-09
-0.908,5e-09,5.85170134116903e-09
-0.907,5e-09,5.85170584417821e-09
