mu,psi_ref,psi_hat
-1,5e-09,4.95238095238088e-09
-0.999,5e-09,4.95373809523803e-09
-0.998,5e-09,4.95509523809517e-09
-0.997,5e-09,4.95645238095232e-09
-0.996,5e-09,4.95780952380947e-09
-0.995,5e-09,4.95916666666661e-09
-0.994,5e-09,4.96052380952376e-09
-0.993,5e-09,4.9618809523809e-09
-0.992,5e-09,4.96323809523805e-09
-0.991,5e-09,4.96459523809519e-09
-0.99,5e-09,4.96595238095234e-09
-0.989,5e-09,4.96730952380948e-09
-0.988,5e-09,4.96866666666663e-09
-0.987,5e-09,4.97002380952377e-09
-0.986,5e-09,4.97138095238092e-09
-0.985,5e-09,4.97273809523807e-09
-0.984,5e-09,4.97409523809521e-09
-0.983,5e-09,4.97545238095236e-09
-0.982,5e-09,4.9768095238095e-09
-0.981,5e-09,4.97816666666665e-09
-0.98,5e-09,4.97952380952379e-09
-0.979,5e-09,4.98088095238094e-09
-0.978,5e-09,4.98223809523808e-09
-0.977,5e-09,4.98359523809523e-09
-0.976,5e-09,4.98495238095237e-09
-0.975,5e-09,4.98630952380952e-09
-0.974,5e-09,4.98766666666667e-09
-0.973,5e-09,4.98902380952381e-09
-0.972,5e-09,4.99038095238096e-09
-0.971,5e-09,4.9917380952381e-09
-0.97,5e-09,4.99309523809525e-09
-0.969,5e-09,4.99445238095239e-09
-0.968,5e-09,4.99580952380954e-09
-0.967,5e-09,4.99716666666668e-09
-0.966,5e-09,4.99852380952383e-09
-0.965,5e-09,4.99988095238097e-09
-0.964,5e-09,5.00123809523812e-09
-0.963,5e-09,5.00259523809527e-09
-0.962,5e-09,5.00395238095241e-09
-0.961,5e-09,5.00530952380956e-09
-0.96,5e-09,5.0066666666667e-09
-0.959,5e-09,5.00802380952385e-09
-0.958,5e-09,5.00938095238099e-09
-0.957,5e-09,5.01073809523814e-09
-0.956,5e-09,5.01209523809528e-09
-0.955,5e-09,5.01345238095243e-09
-0.954,5e-09,5.01480952380957e-09
-0.953,5e-09,5.01616666666672e-09
-0.952,5e-09,5.01752380952387e-09
-0.951,5e-09,5.01888095238101e-09
-0.95,5e-09,5.02023809523816e-09
-0.949,5e-09,5.0215952380953e-09
-0.948,5e-09,5.02295238095245e-09
-0.947,5e-09,5.02430952380959e-09
-0.946,5e-09,5.02566666666674e-09
-0.945,5e-09,5.02702380952388e-09
-0.944,5e-09,5.02838095238103e-09
-0.943,5e-09,5.02973809523817e-09
-0.942,5e-09,5.03109523809532e-09
-0.941,5e-09,5.03245238095247e-09
-0.94,5e-09,5.03380952380961e-09
-0.939,5e-09,5.03516666666676e-09
-0.938,5e-09,5.0365238095239e-09
-0.937,5e-09,5.03788095238105e-09
-0.936,5e-09,5.03923809523819e-09
-0.935,5e-09,5.04059523809534e-09
-0.934,5e-09,5.04195238095248e-09
-0.933,5e-09,5.04330952380963e-09
-0.932,5e-09,5.04466666666677e-09
-0.931,5e-09,5.04602380952392e-09
-0.93,5e-09,5.04738095238107e-09
-0.929,5e-09,5.04873809523821e-09
-0.928,5e-09,5.05009523809536e-09
-0.927,5e-09,5.0514523809525e-09
-0.926,5e-09,5.05280952380965e-09
-0.925,5e-09,5.05416666666679e-09
-0.924,5e-09,5.05552380952394e-09
-0.923,5e-09,5.05688095238108e-09
-0.922,5e-09,5.05823809523823e-09
-0.921,5e-09,5.05959523809537e-09
-0.92,5e-09,5.06095238095252e-09
-0.919,5e-09,5.06230952380967e-09
-0.918,5e-09,5.06366666666681e-09
-0.917,5e-09,5.06502380952396e-09
-0.916,5e-09,5.0663809523811e-09
-0.915,5e-09,5.06773809523825e-09
-0.914,5e-09,5.06909523809539e-09
-0.913,5e-09,5.07045238095254e-09
-0.912,5e-09,5.07180952380968e-09
-0.911,5e-09,5.07316666666683e-09
-0.91,5e-09,5.07452380952398e-09
-0.909,5e-09,5.07588095238112e-09
-0.908,5e-09,5.07723809523827e-09
-0.907,5e-09,5.07859523809541e-09
-0.906,5e-09,5.07995238095256e-09
