mu,psi_ref,psi_hat
-1,5e-09,0.0572832560703314
-0.999,5e-09,0.00728533380665273
-0.998,5e-09,-0.0162281777114503
-0.997,5e-09,-0.0230914039483054
-0.996,5e-09,-0.0203520699126099
-0.995,5e-09,-0.0129066621714384
-0.994,5e-09,-0.00401491269477237
-0.993,5e-09,0.00428680007895784
-0.992,5e-09,0.0108563076505328
-0.991,5e-09,0.0151863643611709
-0.99,5e-09,0.0172029329039568
-0.989,5e-09,0.0171106030903388
-0.988,5e-09,0.0152763076240476
-0.987,5e-09,0.0121438882766849
-0.986,5e-09,0.00817326709464372
-0.985,5e-09,0.00379901252952506
-0.984,5e-09,-0.000596020270099457
-0.983,5e-09,-0.00469553443389321
-0.982,5e-09,-0.00825603175724483
-0.981,5e-09,-0.0111068072082427
-0.98,5e-09,-0.0131455900448267
-0.979,5e-09,-0.0143313318401415
-0.978,5e-09,-0.0146753136300223
-0.977,5e-09,-0.0142314716580454
-0.976,5e-09,-0.0130866160716688
-0.975,5e-09,-0.0113510326152305
-0.974,5e-09,-0.00914980789852866
-0.973,5e-09,-0.00661509896071232
-0.972,5e-09,-0.00387947302626365
-0.971,5e-09,-0.00107036957944267
-0.97,5e-09,0.00169431929483126
-0.969,5e-09,0.00430959593835645
-0.968,5e-09,0.00668570672226747
-0.967,5e-09,0.0087495892158008
-0.966,5e-09,0.0104455238094741
-0.965,5e-09,0.0117351023117056
-0.964,5e-09,0.0125966267748733
-0.963,5e-09,0.0130240488064135
-0.962,5e-09,0.0130255538504953
-0.961,5e-09,0.0126218871896091
-0.96,5e-09,0.0118445093743648
-0.959,5e-09,0.0107336589823592
-0.958,5e-09,0.0093363904659751
-0.957,5e-09,0.0077046447169538
-0.956,5e-09,0.00589340011803137
-0.955,5e-09,0.00395894246937193
-0.954,5e-09,0.00195728341562943
-0.953,5e-09,-5.72510416657051e-05
-0.952,5e-09,-0.00203324761978547
-0.951,5e-09,-0.0039232405354945
-0.95,5e-09,-0.0056845517302497
-0.949,5e-09,-0.00727993909417672
-0.948,5e-09,-0.00867805927882584
-0.947,5e-09,-0.0098537549857
-0.946,5e-09,-0.0107881792246733
-0.945,5e-09,-0.0114687710082847
-0.944,5e-09,-0.0118890983427671
-0.943,5e-09,-0.0120485852544903
-0.942,5e-09,-0.0119521400115162
-0.941,5e-09,-0.0116097017233932
-0.94,5e-09,-0.0110357221854909
-0.939,5e-09,-0.0102485992317466
-0.938,5e-09,-0.00927007702310025
-0.937,5e-09,-0.00812462767596775
-0.936,5e-09,-0.00683882746982934
-0.935,5e-09,-0.00544073960534612
-0.934,5e-09,-0.00395931415031139
-0.933,5e-09,-0.0024238144420652
-0.932,5e-09,-0.000863277839740752
-0.931,5e-09,0.000693982637972906
-0.93,5e-09,0.00222083057340552
-0.929,5e-09,0.00369170835691652
-0.928,5e-09,0.00508298658342399
-0.927,5e-09,0.00637325899621867
-0.926,5e-09,0.0075435823618708
-0.925,5e-09,0.00857766159154712
-0.924,5e-09,0.00946198125730749
-0.923,5e-09,0.0101858853851898
-0.922,5e-09,0.0107416080400592
-0.921,5e-09,0.0111242577517136
-0.92,5e-09,0.0113317592703194
-0.919,5e-09,0.0113647564856168
-0.918,5e-09,0.0112264806031597
-0.917,5e-09,0.0109225878474386
-0.916,5e-09,0.0104609710619752
-0.915,5e-09,0.00985154960661756
-0.914,5e-09,0.00910604191885147
-0.913,5e-09,0.00823772501562628
-0.912,5e-09,0.00726118507170355
-0.911,5e-09,0.00619206302649894
-0.91,5e-09,0.00504679895035745
-0.909,5e-09,0.00384237864946293
-0.908,5e-09,0.0025960857122347
-0.907,5e-09,0.00132526190483357
-0.906,5e-09,4.70785147286875e-05
-0.905,5e-09,-0.00122167907581336
-0.904,5e-09,-0.00246481162527708
-0.903,5e-09,-0.00366688943678867
-0.902,5e-09,-0.00481341760564933
-0.901,5e-09,-0.00589098209406049
-0.9,5e-09,-0.00688737591406841
-0.899,5e-09,-0.007791704983876
-0.898,5e-09,-0.00859447349119763
-0.897,5e-09,-0.0092876488484595
-0.896,5e-09,-0.00986470655688084
-0.895,5e-09,-0.0103206555087018
-0.894,5e-09,-0.0106520444482307
-0.893,5e-09,-0.0108569504824703
-0.892,5e-09,-0.0109349506806097
-0.891,5e-09,-0.0108870779286731
-0.89,5e-09,-0.0107157623113359
-0.889,5e-09,-0.010424759377825
-0.888,5e-09,-0.0100190667135403
-0.887,5e-09,-0.00950483028438072
-0.886,5e-09,-0.0088892420476525
-0.885,5e-09,-0.00818043033294481
-0.884,5e-09,-0.0073873444896061
-0.883,5e-09,-0.00651963527567274
-0.882,5e-09,-0.00558753242757035
-0.881,5e-09,-0.00460172080191568
-0.88,5e-09,-0.00357321642165887
-0.879,5e-09,-0.00251324368994521
-0.878,5e-09,-0.00143311495778492
-0.877,5e-09,-0.000344113547217143
-0.876,5e-09,0.000742618758566965
-0.875,5e-09,0.00181618884147412
-0.874,5e-09,0.00286605317262782
-0.873,5e-09,0.00388211181623982
-0.872,5e-09,0.00485479489663641
-0.871,5e-09,0.00577514101348761
-0.87,5e-09,0.00663486719107801
-0.869,5e-09,0.00742643004656725
-0.868,5e-09,0.00814307795876091
-0.867,5e-09,0.00877889411227478
-0.866,5e-09,0.00932883038144359
-0.865,5e-09,0.00978873210336617
-0.864,5e-09,0.0101553538695693
-0.863,5e-09,0.0104263665405301
-0.862,5e-09,0.0106003557563507
-0.861,5e-09,0.0106768122799838
-0.86,5e-09,0.010656114566349
-0.859,5e-09,0.010539504001321
-0.858,5e-09,0.0103290532988457
-0.857,5e-09,0.01002762858233
-0.856,5e-09,0.00963884570798442
-0.855,5e-09,0.00916702141308139
-0.854,5e-09,0.00861711989124551
-0.853,5e-09,0.00799469541009535
-0.852,5e-09,0.00730583159403148
-0.851,5e-09,0.00655707799694798
-0.85,5e-09,0.00575538458642397
-0.849,5e-09,0.00490803475281668
-0.848,5e-09,0.0040225774439674
-0.847,5e-09,0.00310675900926859
-0.846,5e-09,0.00216845531600089
-0.845,5e-09,0.0012156046764699
-0.844,5e-09,0.000256142096953901
-0.843,5e-09,-0.000702064670834947
-0.842,5e-09,-0.00165127682778232
-0.841,5e-09,-0.00258394356164836
-0.84,5e-09,-0.0034927580407514
-0.839,5e-09,-0.00437071002794486
-0.838,5e-09,-0.00521113481444852
-0.837,5e-09,-0.00600775821240286
-0.836,5e-09,-0.0067547373846116
-0.835,5e-09,-0.00744669732953062
-0.834,5e-09,-0.00807876287884914
-0.833,5e-09,-0.00864658610371865
-0.832,5e-09,-0.00914636906356622
-0.831,5e-09,-0.00957488186823678
-0.83,5e-09,-0.00992947605972788
-0.829,5e-09,-0.0102080933538262
-0.828,5e-09,-0.0104092698143302
-0.827,5e-09,-0.0105321355631113
-0.826,5e-09,-0.0105764101578823
-0.825,5e-09,-0.0105423937960951
-0.824,5e-09,-0.010430954527781
-0.823,5e-09,-0.0102435116823138
-0.822,5e-09,-0.00998201573393764
-0.821,5e-09,-0.00964892484845519
-0.82,5e-09,-0.00924717836866008
-0.819,5e-09,-0.00878016750895031
-0.818,5e-09,-0.0082517035400624
-0.817,5e-09,-0.00766598375306833
-0.816,5e-09,-0.00702755549770709
-0.815,5e-09,-0.00634127859384083
-0.814,5e-09,-0.00561228641639647
-0.813,5e-09,-0.00484594595365976
-0.812,5e-09,-0.00404781713631189
-0.811,5e-09,-0.00322361173024185
-0.81,5e-09,-0.00237915208002913
-0.809,5e-09,-0.00152032998218709
-0.808,5e-09,-0.000653065957907342
-0.807,5e-09,0.00021673081573861
-0.806,5e-09,0.00108320166927055
-0.805,5e-09,0.00194057646532614
-0.804,5e-09,0.00278321026493375
-0.803,5e-09,0.00360561843143377
-0.802,5e-09,0.00440250998395228
-0.801,5e-09,0.00516881902897933
-0.8,5e-09,0.00589973411577729
-0.799,5e-09,0.00659072537891534
-0.798,5e-09,0.00723756934907114
-0.797,5e-09,0.00783637133123377
-0.796,5e-09,0.00838358526747996
-0.795,5e-09,0.00887603101944794
-0.794,5e-09,0.00931090902341941
-0.793,5e-09,0.00968581228840743
-0.792,5e-09,0.00999873572477239
-0.791,5e-09,0.0102480828075357
-0.79,5e-09,0.0104326695946668
-0.789,5e-09,0.0105517261360914
-0.788,5e-09,0.0106048953239545
-0.787,5e-09,0.0105922292486907
-0.786,5e-09,0.0105141831386655
-0.785,5e-09,0.0103716069734958
-0.784,5e-09,0.0101657348725995
-0.783,5e-09,0.00989817237102033
