mu,psi_ref_gauss,psi_hat_gauss,psi_ref_heaviside,psi_hat_heaviside
-1,0.107981933026376,0.107981933033176,5e-09,0
-0.9975,0.109065806164265,0.109065806170954,5e-09,0
-0.995,0.110157804744252,0.110157804750831,5e-09,0
-0.9925,0.111257955248048,0.111257955254518,5e-09,0
-0.99,0.112366283807736,0.112366283814096,5e-09,0
-0.9875,0.113482816199648,0.113482816205898,5e-09,0
-0.985,0.114607577838234,0.114607577844375,5e-09,0
-0.9825,0.115740593769912,0.115740593775945,5e-09,0
-0.98,0.116881888666903,0.116881888672826,5e-09,0
-0.9775,0.11803148682105,0.118031486826866,5e-09,0
-0.975,0.119189412137632,0.119189412143339,5e-09,0
-0.9725,0.120355688129153,0.120355688134752,5e-09,0
-0.97,0.12153033790913,0.121530337914622,5e-09,0
-0.9675,0.122713384185865,0.12271338419125,5e-09,0
-0.965,0.12390484925621,0.123904849261489,5e-09,0
-0.9625,0.12510475499932,0.125104755004493,5e-09,0
-0.96,0.126313122870397,0.126313122875464,5e-09,0
-0.9575,0.127529973894433,0.127529973899395,5e-09,0
-0.955,0.128755328659939,0.128755328664796,5e-09,0
-0.9525,0.12998920731267,0.129989207317423,5e-09,0
-0.95,0.131231629549353,0.131231629554002,5e-09,0
-0.9475,0.132482614611397,0.132482614615943,5e-09,0
-0.945,0.133742181278614,0.133742181283057,5e-09,0
-0.9425,0.135010347862928,0.135010347867268,5e-09,0
-0.94,0.136287132202089,0.136287132206327,5e-09,0
-0.9375,0.137572551653384,0.137572551657521,5e-09,0
-0.935,0.138866623087348,0.138866623091385,5e-09,0
-0.9325,0.140169362881483,0.140169362885419,5e-09,0
-0.93,0.141480786913967,0.141480786917804,5e-09,0
-0.9275,0.142800910557382,0.14280091056112,5e-09,0
-0.925,0.144129748672436,0.144129748676076,5e-09,0
-0.9225,0.145467315601693,0.145467315605236,5e-09,0
-0.92,0.146813625163314,0.14681362516676,5e-09,0
-0.9175,0.148168690644797,0.148168690648146,5e-09,0
-0.915,0.149532524796735,0.149532524799989,5e-09,0
-0.9125,0.15090513982658,0.15090513982974,5e-09,0
-0.91,0.152286547392415,0.15228654739548,5e-09,0
-0.9075,0.153676758596738,0.15367675859971,5e-09,0
-0.905,0.155075783980268,0.155075783983147,5e-09,0
-0.9025,0.15648363351575,0.156483633518538,5e-09,0
-0.9,0.157900316601788,0.157900316604485,5e-09,0
-0.8975,0.159325842056686,0.159325842059292,5e-09,0
-0.895,0.160760218112308,0.160760218114825,5e-09,0
-0.8925,0.16220345240796,0.162203452410389,5e-09,0
-0.89,0.163655551984286,0.163655551986626,5e-09,0
-0.8875,0.165116523277183,0.165116523279437,5e-09,0
-0.885,0.166586372111749,0.166586372113916,5e-09,0
-0.8825,0.168065103696237,0.168065103698319,5e-09,0
-0.88,0.169552722616044,0.169552722618042,5e-09,0
-0.8775,0.171049232827725,0.171049232829639,5e-09,0
-0.875,0.172554637653023,0.172554637654854,5e-09,0
-0.8725,0.174068939772937,0.174068939774686,5e-09,0
-0.87,0.175592141221811,0.17559214122348,5e-09,0
-0.8675,0.177124243381459,0.177124243383047,5e-09,0
-0.865,0.17866524697531,0.17866524697682,5e-09,0
-0.8625,0.180215152062596,0.180215152064028,5e-09,0
-0.86,0.181773958032566,0.18177395803392,5e-09,0
-0.8575,0.183341663598733,0.183341663600011,5e-09,0
-0.855,0.184918266793161,0.184918266794364,5e-09,0
-0.8525,0.186503764960787,0.186503764961916,5e-09,0
-0.85,0.188098154753774,0.188098154754829,5e-09,0
-0.8475,0.189701432125911,0.189701432126894,5e-09,0
-0.845,0.191313592327048,0.19131359232796,5e-09,0
-0.8425,0.192934629897574,0.192934629898416,5e-09,0
-0.84,0.194564538662935,0.194564538663707,5e-09,0
-0.8375,0.196203311728196,0.196203311728899,5e-09,0
-0.835,0.197850941472647,0.197850941473284,5e-09,0
-0.8325,0.19950741954446,0.19950741954503,5e-09,0
-0.83,0.201172736855381,0.201172736855886,5e-09,0
-0.8275,0.202846883575482,0.202846883575923,5e-09,0
-0.825,0.204529849127956,0.204529849128334,5e-09,0
-0.8225,0.206221622183963,0.206221622184278,5e-09,0
-0.82,0.207922190657528,0.207922190657783,5e-09,0
-0.8175,0.209631541700495,0.20963154170069,5e-09,0
-0.815,0.211349661697527,0.211349661697663,5e-09,0
-0.8125,0.21307653626117,0.213076536261248,5e-09,0
-0.81,0.214812150226968,0.214812150226989,5e-09,0
-0.8075,0.216556487648636,0.216556487648601,5e-09,0
-0.805,0.218309531793295,0.218309531793205,5e-09,0
-0.8025,0.220071265136763,0.22007126513662,5e-09,0
-0.8,0.221841669358911,0.221841669358716,5e-09,0
-0.7975,0.223620725339076,0.223620725338829,5e-09,0
-0.795,0.225408413151541,0.225408413151244,5e-09,0
-0.7925,0.227204712061085,0.227204712060738,5e-09,0
-0.79,0.229009600518585,0.22900960051819,5e-09,0
-0.7875,0.2308230561567,0.230823056156258,5e-09,0
-0.785,0.232645055785614,0.232645055785127,5e-09,0
-0.7825,0.234475575388852,0.234475575388319,5e-09,0
-0.78,0.236314590119165,0.236314590118588,5e-09,0
-0.7775,0.238162074294488,0.238162074293868,5e-09,0
-0.775,0.240018001393971,0.24001800139331,5e-09,0
-0.7725,0.241882344054086,0.241882344053385,5e-09,0
-0.77,0.243755074064804,0.243755074064063,5e-09,0
-0.7675,0.24563616236585,0.245636162365071,5e-09,0
-0.765,0.247525579043046,0.24752557904223,5e-09,0
-0.7625,0.249423293324714,0.249423293323862,5e-09,0
-0.76,0.251329273578176,0.251329273577289,5e-09,0
-0.7575,0.253243487306325,0.253243487305404,5e-09,0
-0.755,0.255165901144284,0.255165901143329,5e-09,0
-0.7525,0.257096480856142,0.257096480855155,5e-09,0
-0.75,0.259035191331783,0.259035191330766,5e-09,0
-0.7475,0.260981996583795,0.260981996582748,5e-09,0
-0.745,0.262936859744462,0.262936859743386,5e-09,0
-0.7425,0.264899743062856,0.264899743061752,5e-09,0
-0.74,0.266870607902005,0.266870607900875,5e-09,0
-0.7375,0.268849414736158,0.268849414735002,5e-09,0
-0.735,0.270836123148143,0.270836123146962,5e-09,0
-0.7325,0.272830691826807,0.272830691825603,5e-09,0
-0.73,0.274833078564564,0.274833078563337,5e-09,0
-0.7275,0.276843240255022,0.276843240253775,5e-09,0
-0.725,0.278861132890721,0.278861132889453,5e-09,0
-0.7225,0.280886711560949,0.280886711559662,5e-09,0
-0.72,0.282919930449678,0.282919930448372,5e-09,0
