model,order,nMom,L1,Linf,symmetry_L1_rel,min_rho,runtime_s,n_steps,test_case,variant,limiter
PN,3,4,0.00204237280861662,0.00114997094300096,9.8786865712731e-15,0.175943098716812,1.1573694,1,Gauss,baseline,paper
MN,1,2,0.00189416200009629,0.00124573304758091,0.000226661411153662,0.175943223621931,0.8755962,1,Gauss,baseline,paper
PN,3,4,0.00204237280862708,0.00114997094301006,1.61712745927005e-14,0.175943098716795,4.906058,1,Gauss,baseline,mcl
MN,1,2,0.00206433296828451,0.00117336796929468,9.34293452736696e-06,0.17594322362103,4.9661805,1,Gauss,baseline,mcl
HOLOM1PN,3,4,0.00204237280862912,0.00114997094301805,6.56323696858556e-15,0.175943098716799,8.8626879,1,Gauss,holo,mcl
PN,3,4,0.0160030157693595,0.0210481222466337,1.98745826890469,1e-08,0.3180727,1,Heaviside,baseline,paper
MN,1,2,0.016023720711607,0.0210767985784367,1.98744088275715,1e-08,1.0239945,1,Heaviside,baseline,paper
PN,3,4,0.0160024291445398,0.0210471445385965,1.98745875929137,1e-08,4.5700226,1,Heaviside,baseline,mcl
MN,1,2,0.0160237207116239,0.0210767985784608,1.98744088275713,1e-08,4.9815137,1,Heaviside,baseline,mcl
HOLOM1PN,3,4,0.0160024291445602,0.0210471445386256,1.98745875929135,1e-08,8.5865127,1,Heaviside,holo,mcl
PN,3,4,0.0462367151385002,0.038142328176213,1.97483861625867,0.000303038352569546,0.2102006,1,CrossingBeams,baseline,paper
MN,1,2,0.04623187572836,0.0378993760502482,1.97474433424528,0.000311561471478295,1.0434143,1,CrossingBeams,baseline,paper
PN,3,4,0.0462365030135441,0.0381437600555619,1.97483962437284,0.000303020639528328,4.3234619,1,CrossingBeams,baseline,mcl
MN,1,2,0.0462318757283603,0.0378993760501838,1.97474433424526,0.000311561471475639,5.0846839,1,CrossingBeams,baseline,mcl
HOLOM1PN,3,4,0.0462365030135446,0.0381437600554935,1.97483962437282,0.000303020639528844,8.7011184,1,CrossingBeams,holo,mcl
