case,model,order,nMom,L1,Linf,runtime_s,iterations,converged
Gauss,PN,1,2,0.410971678743566,0.369267935025445,0.0714918,0,1
Heaviside,PN,1,2,0.416666997916665,0.4999999975,0.0022273,0,1
CrossingBeams,PN,1,2,2.71119163273879,17.104622092393,0.0019686,0,1
Gauss,PN,3,4,0.0942861521985848,0.131479356931399,0.0013343,0,1
Heaviside,PN,3,4,0.280947571710262,0.4999999975,0.0093527,0,1
CrossingBeams,PN,3,4,2.93457140565324,15.8401721526749,0.0019125,0,1
Gauss,PN,5,6,0.0150550741308674,0.02682951929296,0.0028961,0,1
Heaviside,PN,5,6,0.216583567863338,0.499999997499999,0.0011059,0,1
CrossingBeams,PN,5,6,2.80704811097876,16.1510093052309,0.0007394,0,1
Gauss,PN,7,8,0.00183357158514051,0.00386824222692854,0.0001858,0,1
Heaviside,PN,7,8,0.178106993447052,0.4999999975,0.0001725,0,1
CrossingBeams,PN,7,8,2.65580446594811,14.896255421159,0.0001676,0,1
Gauss,PN,9,10,0.00018018218507377,0.000432025804799827,0.0002221,0,1
Heaviside,PN,9,10,0.152199088699169,0.4999999975,0.000173,0,1
CrossingBeams,PN,9,10,2.27217804109535,13.827650487645,0.0001884,0,1
Gauss,PN,11,12,1.48282362357192e-05,3.94030158558517e-05,0.0001808,0,1
Heaviside,PN,11,12,0.133428382464975,0.499999997499999,0.0001711,0,1
CrossingBeams,PN,11,12,2.20735065974887,13.8317073258123,0.0001775,0,1
Gauss,PN,13,14,1.04920233505697e-06,3.03774434243231e-06,0.0002087,0,1
Heaviside,PN,13,14,0.119132919311283,0.4999999975,0.0001906,0,1
CrossingBeams,PN,13,14,1.96977547018704,12.7052944470271,0.0001812,0,1
Gauss,PN,15,16,6.50987291927752e-08,2.0284200885623e-07,0.0002105,0,1
Heaviside,PN,15,16,0.107841827482177,0.499999997499999,0.0002192,0,1
CrossingBeams,PN,15,16,1.88641905676768,12.0255800449147,0.0002679,0,1
Gauss,PN,17,18,3.59563175504618e-09,1.19463594433489e-08,0.0015606,0,1
Heaviside,PN,17,18,0.0986731588448096,0.499999997499998,0.00024,0,1
CrossingBeams,PN,17,18,1.87760371424205,11.612853328605,0.0002346,0,1
Gauss,PN,19,20,1.78900473823962e-10,6.29354346415312e-10,0.0002812,0,1
