z,rho_model,rho_m1,rho_ref
-1.08,0.0557345677106488,0.0557345677106488,1.99616453999921
-0.84,0.0017388232321546,0.0017388232321546,0.0834649361657283
-0.6,3.83444594931176e-05,3.83444594931176e-05,1e-08
-0.36,1e-08,1e-08,1e-08
-0.12,1.0032207125505e-08,1.0032207125505e-08,1e-08
0.12,1.05894013128663e-06,1.05894013128663e-06,1e-08
0.36,4.76146633908148e-05,4.76146633908148e-05,0.211126024402071
0.6,0.00152287008287408,0.00152287008287408,1.10303646767549
0.84,4.75207581192043e-05,4.75207581192043e-05,1.00001460197904e-08
1.08,1.05743384227338e-06,1.05743384227338e-06,1e-08
