z,rho_model,rho_m1,rho_ref
-1.08,0.153977437272654,0.153977437272654,0.155778362340641
-0.84,0.388489359264349,0.388489359264349,0.390562756383922
-0.6,0.778020578422619,0.778020578422619,0.777426837262609
-0.36,1.23199161660746,1.23199161660746,1.23019723353628
-0.12,1.54510195255041,1.54510195255041,1.54750898323121
0.12,1.54510195255054,1.54510195255054,1.54750898323121
0.36,1.23199161660734,1.23199161660734,1.23019723353628
0.6,0.778020578422619,0.778020578422619,0.777426837262609
0.84,0.388489359264349,0.388489359264349,0.390562756383922
1.08,0.153977437272654,0.153977437272654,0.155778362340641
