z,rho_model,rho_ref
-1.185,0.24335261120518,0.255644650296567
-1.155,0.278646910540888,0.283409253928164
-1.125,0.30851453157071,0.31002252730203
-1.095,0.33725338031885,0.336534675695446
-1.065,0.364711716527556,0.363162064128727
-1.035,0.391542236138483,0.390035159841935
-1.005,0.417988454162525,0.417199571290378
-0.975,0.445323546426342,0.444662631729281
-0.945,0.473216974214228,0.472402557632397
-0.915,0.503841872560865,0.500383481136998
-0.885,0.531896179142647,0.528558104751014
-0.855,0.55994549163578,0.556866403678751
-0.825,0.588171596874559,0.585240590203419
-0.795,0.616122251289439,0.613608747304873
-0.765,0.643881546290595,0.641892864767208
-0.735,0.671583801409659,0.670010507153109
-0.705,0.69927625738883,0.697879660521433
-0.675,0.726785287750091,0.725415923478461
-0.645,0.754032408493345,0.75252944882157
-0.615,0.780933992490461,0.779132273506905
-0.585,0.80678627650962,0.805143106254208
-0.555,0.830977479927238,0.830478007796909
-0.525,0.854483951103678,0.85504710107836
-0.495,0.877525116689834,0.878767837122932
-0.465,0.900571556281262,0.901569197704869
-0.435,0.923811381099034,0.923375926773293
-0.405,0.946547563186354,0.944104927597334
-0.375,0.971006108689194,0.96368316540701
-0.345,0.987370793524217,0.982050338367527
-0.315,1.00114575428271,0.999137266849775
-0.285,1.01820692603839,1.01486315037256
-0.255,1.02855939389505,1.02916091214083
-0.225,1.0404908870224,1.04198350912399
-0.195,1.05291490952081,1.05328118692849
-0.165,1.06428899787335,1.06300152152188
-0.135,1.07064201610293,1.0711176517751
-0.105,1.07731689792311,1.07762762620882
-0.075,1.08036062377156,1.08252246938116
-0.045,1.08431878400777,1.08578290705886
-0.015,1.08468355121439,1.08740642245877
0.015,1.08614501618836,1.08740642245877
0.045,1.08391893617801,1.08578290705886
0.075,1.08250242136147,1.08252246938116
0.105,1.07706530429564,1.07762762620881
0.135,1.07213161231569,1.0711176517751
0.165,1.06403907944331,1.06300152152188
0.195,1.05354502098672,1.05328118692849
0.225,1.03955257349699,1.04198350912399
0.255,1.02934572228689,1.02916091214083
0.285,1.01551439245223,1.01486315037256
0.315,1.00169818780986,0.999137266849775
0.345,0.989570607803519,0.982050338367527
0.375,0.966368054419269,0.963683165407009
0.405,0.94467326518032,0.944104927597333
0.435,0.923816584226404,0.923375926773292
0.465,0.902580646873037,0.901569197704869
0.495,0.879950199917355,0.878767837122932
0.525,0.856213184565783,0.855047101078359
0.555,0.831851309026158,0.830478007796908
0.585,0.806915678454739,0.805143106254208
0.615,0.780641997876501,0.779132273506904
0.645,0.753695298059871,0.75252944882157
0.675,0.726580477841289,0.72541592347846
0.705,0.699002925584652,0.697879660521432
0.735,0.670977567405409,0.670010507153109
0.765,0.642802431315527,0.641892864767208
0.795,0.614891161229936,0.613608747304873
0.825,0.587175060794879,0.585240590203419
0.855,0.559609825177604,0.55686640367875
0.885,0.532021369794632,0.528558104751014
0.915,0.503003586891171,0.500383481136998
0.945,0.472158989653662,0.472402557632396
0.975,0.444133455066953,0.444662631729281
1.005,0.418682035911984,0.417199571290378
1.035,0.392923068685501,0.390035159841934
1.065,0.365580270101426,0.363162064128727
1.095,0.33760901647557,0.336534675695445
1.125,0.307380364549551,0.310022527302029
1.155,0.2800709864065,0.283409253928164
1.185,0.243823892377275,0.255644650296567
