z,rho_model,rho_ref
-1.185,0.250625521572857,0.255644650296567
-1.155,0.28388148409808,0.283409253928164
-1.125,0.309355680229576,0.31002252730203
-1.095,0.335500961898162,0.336534675695446
-1.065,0.36202469180439,0.363162064128727
-1.035,0.388731651038669,0.390035159841935
-1.005,0.415585717293328,0.417199571290378
-0.975,0.442709048520215,0.444662631729281
-0.945,0.470073042472441,0.472402557632397
-0.915,0.498010619009541,0.500383481136998
-0.885,0.52659147940882,0.528558104751014
-0.855,0.556008722213563,0.556866403678751
-0.825,0.586093510602115,0.585240590203419
-0.795,0.616430448707236,0.613608747304873
-0.765,0.646353007903998,0.641892864767208
-0.735,0.675341160161582,0.670010507153109
-0.705,0.703541150249264,0.697879660521433
-0.675,0.731040694629223,0.725415923478461
-0.645,0.758043447052294,0.75252944882157
-0.615,0.784671623544053,0.779132273506905
-0.585,0.810245546845521,0.805143106254208
-0.555,0.834478259273411,0.830478007796909
-0.525,0.858391614834837,0.85504710107836
-0.495,0.881882805538479,0.878767837122932
-0.465,0.904272643443387,0.901569197704869
-0.435,0.92498800000175,0.923375926773293
-0.405,0.944337571830461,0.944104927597334
-0.375,0.962975012168896,0.96368316540701
-0.345,0.980851867800524,0.982050338367527
-0.315,0.997641478504362,0.999137266849775
-0.285,1.01319475706016,1.01486315037256
-0.255,1.02796364565264,1.02916091214083
-0.225,1.04222945064364,1.04198350912399
-0.195,1.05521739059809,1.05328118692849
-0.165,1.06480615232073,1.06300152152188
-0.135,1.07203107206735,1.0711176517751
-0.105,1.07770319741212,1.07762762620882
-0.075,1.08287623051211,1.08252246938116
-0.045,1.08590131839336,1.08578290705886
-0.015,1.08730647964267,1.08740642245877
0.015,1.08730647965206,1.08740642245877
0.045,1.08590131838384,1.08578290705886
0.075,1.08287623052121,1.08252246938116
0.105,1.07770319740589,1.07762762620881
0.135,1.07203107207206,1.0711176517751
0.165,1.06480615231693,1.06300152152188
0.195,1.05521739060048,1.05328118692849
0.225,1.04222945064302,1.04198350912399
0.255,1.0279636456537,1.02916091214083
0.285,1.01319475706138,1.01486315037256
0.315,0.997641478504319,0.999137266849775
0.345,0.980851867800168,0.982050338367527
0.375,0.962975012167731,0.963683165407009
0.405,0.944337571828898,0.944104927597333
0.435,0.924988000001212,0.923375926773292
0.465,0.904272643443779,0.901569197704869
0.495,0.881882805539564,0.878767837122932
0.525,0.858391614835156,0.855047101078359
0.555,0.834478259273428,0.830478007796908
0.585,0.81024554684392,0.805143106254208
0.615,0.784671623543006,0.779132273506904
0.645,0.758043447054065,0.75252944882157
0.675,0.73104069462968,0.72541592347846
0.705,0.703541150249778,0.697879660521432
0.735,0.675341160161418,0.670010507153109
0.765,0.646353007904584,0.641892864767208
0.795,0.616430448707223,0.613608747304873
0.825,0.586093510601848,0.585240590203419
0.855,0.556008722213151,0.55686640367875
0.885,0.526591479408691,0.528558104751014
0.915,0.498010619009092,0.500383481136998
0.945,0.470073042472442,0.472402557632396
0.975,0.442709048520452,0.444662631729281
1.005,0.415585717293467,0.417199571290378
1.035,0.38873165103849,0.390035159841934
1.065,0.362024691804354,0.363162064128727
1.095,0.335500961897875,0.336534675695445
1.125,0.309355680229853,0.310022527302029
1.155,0.283881484097725,0.283409253928164
1.185,0.250625521572896,0.255644650296567
