z,rho_model,rho_ref
-1.185,0.00117965419573111,0.00824445470623143
-1.155,0.00377072753656655,0.0174204423006787
-1.125,0.00884864020692898,0.0338989215194798
-1.095,0.020625053986103,0.0608460189688027
-1.065,0.0456886297453247,0.10074544764979
-1.035,0.0966631224153728,0.154535874773954
-1.005,0.19424966053842,0.22079732560045
-0.975,0.363778941190338,0.295386633183763
-0.945,0.536878491275113,0.372672245057433
-0.915,0.666828810135405,0.447346016785508
-0.885,0.750806825961079,0.515688358429072
-0.855,0.797510844024258,0.57636158331011
-0.825,0.823260854271259,0.630087363364904
-0.795,0.814696693077709,0.678498148690388
-0.765,0.729805946847667,0.72329691736911
-0.735,0.617348767682799,0.765811453338048
-0.705,0.538381194410353,0.806826478437068
-0.675,0.489764104231287,0.846695536856248
-0.645,0.46536653451849,0.885526473516249
-0.615,0.458816654343153,0.923318922464732
-0.585,0.465643844352063,0.960032807228836
-0.555,0.48622344439278,0.995600846067043
-0.525,0.529243894106212,1.02993698764487
-0.495,0.623235958389816,1.06296178331757
-0.465,0.822683624199745,1.09460825053576
-0.435,1.23397671263588,1.12479919941702
-0.405,1.83469950450842,1.15344471485062
-0.375,2.26178250002755,1.18046962978078
-0.345,2.46540726075156,1.20581797967398
-0.315,2.51416852533875,1.22942349526147
-0.285,2.35726108825612,1.25120984554583
-0.255,1.82533004468231,1.27111453750166
-0.225,1.33020515281445,1.28912133840304
-0.195,1.04766550319588,1.3051441412724
-0.165,0.911564951799128,1.3192320624941
-0.135,0.856555533802136,1.3312542377708
-0.105,0.838758856558383,1.34062901861653
-0.075,0.834680931868296,1.35490013335633
-0.045,0.834334968938806,1.32823395118852
-0.015,0.834557342157814,1.45179808153368
0.015,0.834557342186647,1.45179808153368
0.045,0.834334969015856,1.32823395118853
0.075,0.834680931873891,1.35490013335634
0.105,0.83875885648105,1.34062901861654
0.135,0.856555533737731,1.33125423777081
0.165,0.911564951777083,1.3192320624941
0.195,1.04766550320059,1.30514414127241
0.225,1.33020515280682,1.28912133840304
0.255,1.8253300446611,1.27111453750166
0.285,2.35726108834015,1.25120984554583
0.315,2.51416852534178,1.22942349526147
0.345,2.46540726065354,1.20581797967398
0.375,2.26178249995212,1.18046962978078
0.405,1.83469950439366,1.15344471485062
0.435,1.23397671265679,1.12479919941702
0.465,0.822683624348711,1.09460825053576
0.495,0.623235958481494,1.06296178331757
0.525,0.529243894137004,1.02993698764487
0.555,0.486223444382331,0.995600846067046
0.585,0.4656438443378,0.960032807228838
0.615,0.458816654265643,0.923318922464734
0.645,0.465366534457206,0.885526473516249
0.675,0.489764104176265,0.846695536856247
0.705,0.53838119440678,0.806826478437066
0.735,0.617348767778927,0.765811453338045
0.765,0.729805946930895,0.723296917369106
0.795,0.814696693117088,0.678498148690383
0.825,0.823260854197475,0.6300873633649
0.855,0.797510843938195,0.576361583310106
0.885,0.750806825899225,0.515688358429069
0.915,0.666828810079914,0.447346016785506
0.945,0.536878491208622,0.372672245057431
0.975,0.363778941154108,0.295386633183762
1.005,0.194249660531198,0.220797325600449
1.035,0.0966631224202191,0.154535874773954
1.065,0.045688629752044,0.10074544764979
1.095,0.0206250539831413,0.0608460189688024
1.125,0.00884864014106183,0.0338989215194797
1.155,0.00377072783545006,0.0174204423006786
1.185,0.00117965353277324,0.00824445470623137
