z,rho_model,rho_ref
-1.17,1.00000058464373e-08,9.99999999999999e-09
-1.11,1.00003577523526e-08,9.99999999999999e-09
-1.05,1.00161011440994e-08,9.99999999999999e-09
-0.99,1.06760098847786e-08,9.99999999999999e-09
-0.93,3.17180239878011e-08,9.99999999999999e-09
-0.87,2.96441561253516e-07,1.00000000000226e-08
-0.81,1.07804232375717e-06,1.00000000505589e-08
-0.75,6.66485040560625e-06,1.00000601292823e-08
-0.69,2.88255732252485e-05,1.00278305128359e-08
-0.63,0.000228704077564255,1.70847202450562e-08
-0.57,0.00149500514445924,8.4837000048505e-07
-0.51,0.00847780708058537,5.39110299597459e-05
-0.45,0.0414017924553342,0.001734821181139
-0.39,0.175458690304903,0.0293266465090786
-0.33,0.563750072338327,0.25155678857763
-0.27,1.27109366758913,1.10660345521298
-0.21,2.16839530737714,2.5936253793211
-0.15,3.15115806259224,3.72890273631191
-0.09,3.88191561028428,4.1906377429681
-0.03,5.41229210265283,4.41009266792434
0.03,5.38742073762391,4.41009266792436
0.09,3.89436014122984,4.19063774296809
0.15,3.14606929756594,3.72890273631191
0.21,2.17695598439119,2.5936253793211
0.27,1.26879848838485,1.10660345521298
0.33,0.561021820815055,0.251556788577629
0.39,0.172437493832014,0.0293266465090785
0.45,0.0405399839024383,0.001734821181139
0.51,0.00829518695629202,5.39110299597456e-05
0.57,0.00146822740847706,8.48370000485045e-07
0.63,0.000225887852803275,1.70847202450561e-08
0.69,2.8629459383778e-05,1.00278305128359e-08
0.75,6.64737107556234e-06,1.00000601292823e-08
0.81,1.07820625083833e-06,1.00000000505589e-08
0.87,2.96681837592598e-07,1.00000000000226e-08
0.93,3.17438042271263e-08,9.99999999999999e-09
0.99,1.06762783128906e-08,9.99999999999999e-09
1.05,1.00166862776618e-08,9.99999999999999e-09
1.11,1.00003576701205e-08,9.99999999999999e-09
1.17,1.00000058486121e-08,9.99999999999999e-09
