z,rho_model,rho_ref
-1.175,1.0000004140336e-08,9.99999999999999e-09
-1.125,1.00000876109768e-08,9.99999999999999e-09
-1.075,1.00015014011919e-08,9.99999999999999e-09
-1.025,1.0022050840038e-08,9.99999999999999e-09
-0.975,1.03083860941048e-08,9.99999999999999e-09
-0.925,1.36645384997311e-08,1.00000000000017e-08
-0.875,5.13329222933229e-08,1.00000000015184e-08
-0.825,5.013593720444e-07,1.00000006463391e-08
-0.775,3.12240911400193e-06,1.0000212303132e-08
-0.725,1.36831122189686e-05,1.00332552242267e-08
-0.675,9.3953864317739e-05,1.38986416318073e-08
-0.625,0.000527802512567161,2.66622379771597e-07
-0.575,0.00265787670636374,1.04334001647228e-05
-0.525,0.0119567704892883,0.000271395969170165
-0.475,0.0478072224273394,0.00410754513746899
-0.425,0.169242954661403,0.0402108486842403
-0.375,0.485311026149472,0.230917177257135
-0.325,0.984522945832889,0.817003403098814
-0.275,1.64598436230596,1.80700768685402
-0.225,2.32133250773272,2.72609409083649
-0.175,2.95520583621533,3.23475704940748
-0.125,3.22309132529677,3.48377343915773
-0.075,3.75358107837333,3.63494372031061
-0.025,4.39866715527535,3.76299011338059
0.025,4.398667154762,3.76299011338061
0.075,3.75358107832703,3.63494372031061
0.125,3.22309132581792,3.48377343915773
0.175,2.95520583643413,3.23475704940748
0.225,2.32133250816289,2.72609409083649
0.275,1.64598436247888,1.80700768685401
0.325,0.984522945461466,0.817003403098811
0.375,0.485311025818058,0.230917177257134
0.425,0.169242954495479,0.0402108486842402
0.475,0.0478072224075111,0.00410754513746897
0.525,0.0119567704877173,0.000271395969170164
0.575,0.00265787670643128,1.04334001647227e-05
0.625,0.000527802512618188,2.66622379771595e-07
0.675,9.39538643300811e-05,1.38986416318073e-08
0.725,1.36831122208796e-05,1.00332552242267e-08
0.775,3.12240911447534e-06,1.0000212303132e-08
0.825,5.013593721346e-07,1.00000006463391e-08
0.875,5.1332922303577e-08,1.00000000015184e-08
0.925,1.36645385007014e-08,1.00000000000017e-08
0.975,1.03083860941646e-08,9.99999999999999e-09
1.025,1.00220508400398e-08,9.99999999999999e-09
1.075,1.0001501401192e-08,9.99999999999999e-09
1.125,1.00000876109768e-08,9.99999999999999e-09
1.175,1.0000004140336e-08,9.99999999999999e-09
