z,rho_model,rho_m1,rho_ref
-1.14,0.117865575314794,0.117865575314794,0.0824632648738154
-1.02,0.269375103852191,0.269375103852191,0.224361353405607
-0.9,0.415969845876226,0.415969845876226,0.435640610876647
-0.78,0.59730063260309,0.59730063260309,0.654462326302653
-0.66,0.803841584576023,0.803841584576023,0.839650600835403
-0.54,0.937152520155697,0.937152520155697,0.994025634075945
-0.42,1.04229926028036,1.04229926028036,1.12550938325593
-0.3,1.25694965069887,1.25694965069887,1.23295763321075
-0.18,1.35111645218546,1.35111645218546,1.31361820142336
-0.06,1.43212380068523,1.43212380068523,1.40554260855954
0.06,1.43212380068999,1.43212380068999,1.40554260855954
0.18,1.35111645225568,1.35111645225568,1.31361820142335
0.3,1.25694965072339,1.25694965072339,1.23295763321074
0.42,1.04229926020029,1.04229926020029,1.12550938325593
0.54,0.937152520072998,0.937152520072998,0.994025634075944
0.66,0.803841584528727,0.803841584528727,0.839650600835402
0.78,0.597300632623901,0.597300632623901,0.654462326302653
0.9,0.415969845930185,0.415969845930185,0.435640610876648
1.02,0.269375103883288,0.269375103883288,0.224361353405608
1.14,0.117865575349253,0.117865575349253,0.0824632648738158
