z,rho_model,rho_ref
-1.14,1e-08,1e-08
-1.02,1e-08,1e-08
-0.9,1e-08,1e-08
-0.78,1e-08,1e-08
-0.66,1e-08,1e-08
-0.54,0.000514255257758117,1e-08
-0.42,0.0116406072192653,1e-08
-0.3,0.185284130406877,9.15950183312e-05
-0.18,1.17083367342733,0.162491344111646
-0.06,6.96506071724323,6.64467649791375
0.06,6.96506071683407,6.64467649791374
0.18,1.1708336769124,0.162491344111646
0.3,0.185284127302014,9.15950183312004e-05
0.42,0.0116406068301761,1e-08
0.54,0.000514255233575302,1e-08
0.66,1e-08,1e-08
0.78,1e-08,1e-08
0.9,1e-08,1e-08
1.02,1e-08,1e-08
1.14,1e-08,1e-08
