z,rho_model,rho_ref
-1.17,1.00007419651513e-08,9.99999999999999e-09
-1.11,1.00747896054324e-08,9.99999999999999e-09
-1.05,1.09797715215045e-08,9.99999999999999e-09
-0.99,2.51138656559541e-08,9.99999999999999e-09
-0.93,1.89253469832104e-07,9.99999999999999e-09
-0.87,1.63315903662164e-06,1.00000000000226e-08
-0.81,1.19946695950603e-05,1.00000000505589e-08
-0.75,7.40214300469741e-05,1.00000601292823e-08
-0.69,0.00038874338158874,1.00278305128359e-08
-0.63,0.00175448474051684,1.70847202450562e-08
-0.57,0.0068049147821025,8.4837000048505e-07
-0.51,0.0221775142733291,5.39110299597459e-05
-0.45,0.0516196161305726,0.001734821181139
-0.39,0.112296207618503,0.0293266465090786
-0.33,0.258700161677902,0.25155678857763
-0.27,0.608440541324178,1.10660345521298
-0.21,1.3920705325289,2.5936253793211
-0.15,2.87942610906766,3.72890273631191
-0.09,5.01223614612419,4.1906377429681
-0.03,6.16847535863407,4.41009266792434
0.03,6.18744424301138,4.41009266792436
0.09,5.31520910780815,4.19063774296809
0.15,2.94233389614654,3.72890273631191
0.21,1.41070538115643,2.5936253793211
0.27,0.590053895476267,1.10660345521298
0.33,0.229626133290301,0.251556788577629
0.39,0.0871504520128384,0.0293266465090785
0.45,0.0340827712435419,0.001734821181139
0.51,0.0144251149053369,5.39110299597456e-05
0.57,0.00578324216626519,8.48370000485045e-07
0.63,0.00159616241070246,1.70847202450561e-08
0.69,0.000362335818368244,1.00278305128359e-08
0.75,6.96280098031698e-05,1.00000601292823e-08
0.81,1.13494321307538e-05,1.00000000505589e-08
0.87,1.55713496572228e-06,1.00000000000226e-08
0.93,1.82586804220218e-07,9.99999999999999e-09
0.99,2.47135780488889e-08,9.99999999999999e-09
1.05,1.09698310165895e-08,9.99999999999999e-09
1.11,1.00745247698754e-08,9.99999999999999e-09
1.17,1.00007330368783e-08,9.99999999999999e-09
