z,rho_model,rho_ref
-1.175,1.00000001113519e-08,9.99999999999999e-09
-1.125,1.00000030085765e-08,9.99999999999999e-09
-1.075,1.00000662334961e-08,9.99999999999999e-09
-1.025,1.00012462363979e-08,9.99999999999999e-09
-0.975,1.00202974286295e-08,9.99999999999999e-09
-0.925,1.02888426176646e-08,1.00000000000017e-08
-0.875,1.36161333054561e-08,1.00000000015184e-08
-0.825,5.00252779711017e-08,1.00000006463391e-08
-0.775,4.02994342976494e-07,1.0000212303132e-08
-0.725,3.43970281610786e-06,1.00332552242267e-08
-0.675,2.66323946531318e-05,1.38986416318073e-08
-0.625,0.000183703041546999,2.66622379771597e-07
-0.575,0.00112419425320075,1.04334001647228e-05
-0.525,0.00607937983201921,0.000271395969170165
-0.475,0.0288918892774642,0.00410754513746899
-0.425,0.119653483282382,0.0402108486842403
-0.375,0.428303817244561,0.230917177257135
-0.325,1.19130456352281,0.817003403098814
-0.275,1.89131017602751,1.80700768685402
-0.225,2.25525370696017,2.72609409083649
-0.175,2.4992990935115,3.23475704940748
-0.125,3.0192728622208,3.48377343915773
-0.075,3.93729529927342,3.63494372031061
-0.025,4.62199747249119,3.76299011338059
0.025,4.62199747241075,3.76299011338061
0.075,3.93729529911163,3.63494372031061
0.125,3.01927286220161,3.48377343915773
0.175,2.49929909338745,3.23475704940748
0.225,2.25525370705274,2.72609409083649
0.275,1.89131017602102,1.80700768685401
0.325,1.19130456374419,0.817003403098811
0.375,0.428303817328474,0.230917177257134
0.425,0.119653483305283,0.0402108486842402
0.475,0.0288918892828667,0.00410754513746897
0.525,0.00607937983306173,0.000271395969170164
0.575,0.00112419425337384,1.04334001647227e-05
0.625,0.000183703041572721,2.66622379771595e-07
0.675,2.66323946566091e-05,1.38986416318073e-08
0.725,3.4397028165333e-06,1.00332552242267e-08
0.775,4.02994343022824e-07,1.0000212303132e-08
0.825,5.00252779755263e-08,1.00000006463391e-08
0.875,1.36161333058233e-08,1.00000000015184e-08
0.925,1.02888426176909e-08,1.00000000000017e-08
0.975,1.00202974286312e-08,9.99999999999999e-09
1.025,1.0001246236398e-08,9.99999999999999e-09
1.075,1.00000662334961e-08,9.99999999999999e-09
1.125,1.00000030085765e-08,9.99999999999999e-09
1.175,1.00000001113519e-08,9.99999999999999e-09
