z,rho_model,rho_ref
-1.1988,1.00005256656743e-08,0.00556708786923239
-1.1964,1.00016483931817e-08,0.00601345624172313
-1.194,1.00039631717109e-08,0.00645982461421387
-1.1916,1.00097364769628e-08,0.00690619298670466
-1.1892,1.00236858645519e-08,0.00735256135919536
-1.1868,1.00580911306756e-08,0.00784322920975703
-1.1844,1.01449404823511e-08,0.00837819653838954
-1.182,1.03408101109171e-08,0.00891316386702205
-1.1796,1.07499388236693e-08,0.00946535307821413
-1.1772,1.16354236581438e-08,0.0101036517022036
-1.1748,1.35115754041868e-08,0.0107419503261933
-1.1724,1.74033532523311e-08,0.0113802489501828
-1.17,2.54021285645602e-08,0.0121175764809195
-1.1676,4.1527570957732e-08,0.0128747097930057
-1.1652,7.43356051638258e-08,0.0136318431050917
-1.1628,1.29487935460329e-07,0.0144566070744702
-1.1604,1.68624216375598e-07,0.0153490017011407
-1.158,1.96579209430483e-07,0.0162413963278115
-1.1556,2.23274621837128e-07,0.0171592120302937
-1.1532,2.69270617818518e-07,0.0182041331118332
-1.1508,3.13995015330233e-07,0.0192490541933729
-1.1484,3.65230896776919e-07,0.0202939752749123
-1.146,5.08530894369316e-07,0.0214809295173122
-1.1436,7.04657040183689e-07,0.0226962903918842
-1.1412,8.51842740146933e-07,0.0239116512664559
-1.1388,1.04732868340388e-06,0.025221379759972
-1.1364,1.22284064098055e-06,0.0266254758724322
-1.134,1.41947266021093e-06,0.0280295719848926
-1.1316,1.6579414505801e-06,0.029468181760945
-1.1292,1.9064022407997e-06,0.0310793598549575
-1.1268,2.1628897721181e-06,0.0326905379489703
-1.1244,2.48437983753393e-06,0.0343017160429828
-1.122,2.83915587191781e-06,0.0361004710581521
-1.1196,3.26405163920384e-06,0.0379367414575528
-1.1172,3.7261496228086e-06,0.0397730118569531
-1.1148,4.29288398086097e-06,0.0417304474303163
-1.1124,5.03393376287925e-06,0.0438090481776417
-1.11,5.61896370288879e-06,0.0458876489249675
-1.1076,6.28375355779072e-06,0.0480093035445461
-1.1052,7.15496182663886e-06,0.0503462275253893
-1.1028,8.66975690627904e-06,0.0526831515062327
-1.1004,9.59644198565025e-06,0.0550200754870757
-1.098,1.06301830229263e-05,0.0575841452778509
-1.0956,1.17460518433399e-05,0.0601936442306122
-1.0932,1.29552141760747e-05,0.0628031431833735
-1.0908,1.4283442488441e-05,0.0655549336598757
-1.0884,1.5717160963455e-05,0.0684490156601179
-1.086,1.7281265323877e-05,0.0713430976603606
-1.0836,1.90192486194581e-05,0.0742861558746867
-1.0812,2.08931243250125e-05,0.077474095159431
-1.0788,2.37904754013213e-05,0.0806620344441756
-1.0764,2.60195931407828e-05,0.0838499737289196
-1.074,2.82685025568346e-05,0.087287863272038
-1.0716,3.10402975691503e-05,0.0907757428668309
-1.0692,3.81847812217964e-05,0.0942636224616238
-1.0668,5.50393988012082e-05,0.0979027164153284
-1.0644,8.50623407125638e-05,0.101693024727944
-1.062,0.000126784143717937,0.10548333304056
-1.0596,0.000189127098111352,0.109323806998199
-1.0572,0.000296231739933059,0.113415109180957
-1.0548,0.000448042972767224,0.117506411363715
-1.0524,0.000676499469815314,0.121597713546472
-1.05,0.000997294538253223,0.125935183372164
-1.0476,0.00147014951097198,0.130321886726441
-1.0452,0.00212827185683802,0.134708590080719
-1.0428,0.00307084694837045,0.139238056744208
-1.0404,0.00439888700133361,0.143910286716908
-1.038,0.00624959642754037,0.148582516689608
-1.0356,0.0088139452853755,0.153299974909696
-1.0332,0.0123298200383997,0.158243574366729
-1.0308,0.0171019182133763,0.163187173823761
-1.0284,0.0235470974157891,0.168130773280792
-1.026,0.0321133977985271,0.173285256188402
-1.0236,0.0433774882054245,0.178481915786127
-1.0212,0.0580120284983404,0.183678575383853
-1.0188,0.0765156180772181,0.188990666101171
-1.0164,0.098534265508764,0.194418187938082
-1.014,0.119800483484103,0.199845709774993
-1.0116,0.140431337735524,0.205307426408305
-1.0092,0.158240311615844,0.210940117023631
-1.0068,0.175827600171558,0.216572807638955
