z,rho_model,rho_ref
-1.1988,1e-08,0.00556708786923239
-1.1964,1e-08,0.00601345624172313
-1.194,1e-08,0.00645982461421387
-1.1916,1e-08,0.00690619298670466
-1.1892,1e-08,0.00735256135919536
-1.1868,1e-08,0.00784322920975703
-1.1844,1e-08,0.00837819653838954
-1.182,1e-08,0.00891316386702205
-1.1796,1e-08,0.00946535307821413
-1.1772,1e-08,0.0101036517022036
-1.1748,1e-08,0.0107419503261933
-1.1724,1e-08,0.0113802489501828
-1.17,1.00000000000002e-08,0.0121175764809195
-1.1676,1.00000000000009e-08,0.0128747097930057
-1.1652,1.00000000000101e-08,0.0136318431050917
-1.1628,1.0000000000057e-08,0.0144566070744702
-1.1604,1.00000000002081e-08,0.0153490017011407
-1.158,1.00000000015446e-08,0.0162413963278115
-1.1556,1.00000000061759e-08,0.0171592120302937
-1.1532,1.00000000218817e-08,0.0182041331118332
-1.1508,1.00000000662381e-08,0.0192490541933729
-1.1484,1.00000001921162e-08,0.0202939752749123
-1.146,1.00000005689966e-08,0.0214809295173122
-1.1436,1.00000017270787e-08,0.0226962903918842
-1.1412,1.0000005007914e-08,0.0239116512664559
-1.1388,1.00000145812175e-08,0.025221379759972
-1.1364,1.0000039125223e-08,0.0266254758724322
-1.134,1.0000106318704e-08,0.0280295719848926
-1.1316,1.00002818719009e-08,0.029468181760945
-1.1292,1.00007834894017e-08,0.0310793598549575
-1.1268,1.00021109607955e-08,0.0326905379489703
-1.1244,1.00056212110257e-08,0.0343017160429828
-1.122,1.00147734513143e-08,0.0361004710581521
-1.1196,1.00383238325829e-08,0.0379367414575528
-1.1172,1.00978585520193e-08,0.0397730118569531
-1.1148,1.02473782799798e-08,0.0417304474303163
-1.1124,1.06113622594708e-08,0.0438090481776417
-1.11,1.14652946479032e-08,0.0458876489249675
-1.1076,1.33743279870814e-08,0.0480093035445461
-1.1052,1.74125107743391e-08,0.0503462275253893
-1.1028,2.54471812376269e-08,0.0526831515062327
