z,rho_model,rho_ref
-1.1988,1e-08,0.00556708786923239
-1.1964,1e-08,0.00601345624172313
-1.194,1e-08,0.00645982461421387
-1.1916,1e-08,0.00690619298670466
-1.1892,1e-08,0.00735256135919536
-1.1868,1e-08,0.00784322920975703
-1.1844,1e-08,0.00837819653838954
-1.182,1e-08,0.00891316386702205
-1.1796,1e-08,0.00946535307821413
-1.1772,1e-08,0.0101036517022036
-1.1748,1e-08,0.0107419503261933
-1.1724,1e-08,0.0113802489501828
-1.17,1e-08,0.0121175764809195
-1.1676,1e-08,0.0128747097930057
-1.1652,1e-08,0.0136318431050917
-1.1628,1e-08,0.0144566070744702
-1.1604,1e-08,0.0153490017011407
-1.158,1e-08,0.0162413963278115
-1.1556,1e-08,0.0171592120302937
-1.1532,1e-08,0.0182041331118332
-1.1508,1e-08,0.0192490541933729
-1.1484,1e-08,0.0202939752749123
-1.146,1e-08,0.0214809295173122
-1.1436,1e-08,0.0226962903918842
-1.1412,1e-08,0.0239116512664559
-1.1388,1e-08,0.025221379759972
-1.1364,1e-08,0.0266254758724322
-1.134,1e-08,0.0280295719848926
-1.1316,1e-08,0.029468181760945
-1.1292,1e-08,0.0310793598549575
-1.1268,1e-08,0.0326905379489703
-1.1244,1e-08,0.0343017160429828
-1.122,1e-08,0.0361004710581521
-1.1196,1e-08,0.0379367414575528
-1.1172,1e-08,0.0397730118569531
-1.1148,1e-08,0.0417304474303163
-1.1124,1e-08,0.0438090481776417
-1.11,1e-08,0.0458876489249675
-1.1076,1e-08,0.0480093035445461
-1.1052,1e-08,0.0503462275253893
-1.1028,1e-08,0.0526831515062327
-1.1004,1e-08,0.0550200754870757
-1.098,1e-08,0.0575841452778509
-1.0956,1e-08,0.0601936442306122
-1.0932,1e-08,0.0628031431833735
-1.0908,1e-08,0.0655549336598757
-1.0884,1e-08,0.0684490156601179
-1.086,1e-08,0.0713430976603606
-1.0836,1e-08,0.0742861558746867
-1.0812,1e-08,0.077474095159431
