z,rho_model,rho_ref
-1.1988,1.00000000007815e-08,0.00556708786923239
-1.1964,1.00000000019679e-08,0.00601345624172313
-1.194,1.00000000037493e-08,0.00645982461421387
-1.1916,1.00000000075796e-08,0.00690619298670466
-1.1892,1.00000000150202e-08,0.00735256135919536
-1.1868,1.00000000297578e-08,0.00784322920975703
-1.1844,1.00000000586555e-08,0.00837819653838954
-1.182,1.00000001151613e-08,0.00891316386702205
-1.1796,1.00000002251418e-08,0.00946535307821413
-1.1772,1.00000004383066e-08,0.0101036517022036
-1.1748,1.00000008496754e-08,0.0107419503261933
-1.1724,1.00000016401057e-08,0.0113802489501828
-1.17,1.00000031522624e-08,0.0121175764809195
-1.1676,1.00000060324386e-08,0.0128747097930057
-1.1652,1.00000114940058e-08,0.0136318431050917
-1.1628,1.00000218044735e-08,0.0144566070744702
-1.1604,1.00000411815768e-08,0.0153490017011407
-1.158,1.00000774338321e-08,0.0162413963278115
-1.1556,1.00001449492352e-08,0.0171592120302937
-1.1532,1.00002701128304e-08,0.0182041331118332
-1.1508,1.00005010776694e-08,0.0192490541933729
-1.1484,1.0000925297928e-08,0.0202939752749123
-1.146,1.00017008291836e-08,0.0214809295173122
-1.1436,1.00031119165054e-08,0.0226962903918842
-1.1412,1.00056672000812e-08,0.0239116512664559
-1.1388,1.00102722941673e-08,0.025221379759972
-1.1364,1.00185314424479e-08,0.0266254758724322
-1.134,1.00332719390625e-08,0.0280295719848926
-1.1316,1.00594508379376e-08,0.029468181760945
-1.1292,1.01057139564196e-08,0.0310793598549575
-1.1268,1.01870614340992e-08,0.0326905379489703
-1.1244,1.03293794357761e-08,0.0343017160429828
-1.122,1.05771002671902e-08,0.0361004710581521
-1.1196,1.10060753040736e-08,0.0379367414575528
-1.1172,1.17450806932486e-08,0.0397730118569531
-1.1148,1.30115305367422e-08,0.0417304474303163
-1.1124,1.51704243707408e-08,0.0438090481776417
-1.11,1.88310468009496e-08,0.0458876489249675
-1.1076,2.50046076241908e-08,0.0480093035445461
-1.1052,3.53595991957907e-08,0.0503462275253893
-1.1028,5.2632780450356e-08,0.0526831515062327
-1.1004,8.12863037869477e-08,0.0550200754870757
-1.098,1.28551405143001e-07,0.0575841452778509
-1.0956,2.06074819058673e-07,0.0601936442306122
-1.0932,3.32498049348045e-07,0.0628031431833735
-1.0908,5.37469593961699e-07,0.0655549336598757
-1.0884,8.67841375048016e-07,0.0684490156601179
-1.086,1.39716819637995e-06,0.0713430976603606
-1.0836,2.24016165483252e-06,0.0742861558746867
-1.0812,3.57451364611548e-06,0.077474095159431
-1.0788,5.67358776727158e-06,0.0806620344441756
-1.0764,8.95499548990022e-06,0.0838499737289196
-1.074,1.4052177050902e-05,0.087287863272038
-1.0716,2.19189817285898e-05,0.0907757428668309
-1.0692,3.3981116842723e-05,0.0942636224616238
-1.0668,5.23534782756228e-05,0.0979027164153284
-1.0644,8.01490898592778e-05,0.101693024727944
-1.062,0.000121913983098564,0.10548333304056
-1.0596,0.000184233144743428,0.109323806998199
-1.0572,0.000276565880543452,0.113415109180957
-1.0548,0.000412384671413944,0.117506411363715
-1.0524,0.000610709649152721,0.121597713546472
-1.05,0.000898150585793802,0.125935183372164
-1.0476,0.00131158854307785,0.130321886726441
-1.0452,0.00190164796878318,0.134708590080719
-1.0428,0.00273712381005159,0.139238056744208
-1.0404,0.0039105324313782,0.143910286716908
-1.038,0.00554494333391149,0.148582516689608
-1.0356,0.00780221343326207,0.153299974909696
-1.0332,0.0108926830788735,0.158243574366729
-1.0308,0.0150863149480642,0.163187173823761
-1.0284,0.0207246027966931,0.168130773280792
-1.026,0.0282387168822276,0.173285256188402
-1.0236,0.0378175279956463,0.178481915786127
-1.0212,0.0495106555674138,0.183678575383853
-1.0188,0.0629220497382483,0.188990666101171
-1.0164,0.0775287249065312,0.194418187938082
-1.014,0.093794340762461,0.199845709774993
-1.0116,0.111688761976605,0.205307426408305
-1.0092,0.129670859540383,0.210940117023631
-1.0068,0.147746343175526,0.216572807638955
-1.0044,0.166441521353855,0.22220549825428
-1.002,0.186518844794602,0.22798526547856
-0.9996,0.20761640827329,0.23379444802463
-0.9972,0.227663033911989,0.239603630570701
-0.9948,0.246807869271328,0.245485536561133
-0.9924,0.265556714302131,0.251440165995929
-0.99,0.284488583514337,0.257394795430724
-0.9876,0.304172333263442,0.263368213261714
-0.9852,0.324802782512585,0.269435573073678
-0.9828,0.343183086343137,0.275502932885641
-0.9804,0.358305534165317,0.281570292697605
-0.978,0.370414113698826,0.287703564873264
-0.9756,0.380423227567505,0.293850019521663
-0.9732,0.389721305398584,0.299996474170062
-0.9708,0.398883425713713,0.306165588611017
-0.9684,0.408986845284375,0.312357362844528
-0.966,0.420969249026626,0.318549137078039
-0.9636,0.430896353648211,0.324742941393301
-0.9612,0.4377295139115,0.330946896117315
-0.9588,0.441397045992959,0.337150850841329
-0.9564,0.44353152687964,0.343354805565342
-0.954,0.446621765662777,0.349542443450223
-0.9516,0.450718102254973,0.355726817967278
-0.9492,0.455889451839154,0.361911192484332
-0.9468,0.462515644302557,0.368070925868689
-0.9444,0.470437433098149,0.374206018120347
-0.942,0.475860403224213,0.380341110372006
-0.9396,0.480764604196582,0.386463480545064
-0.9372,0.485778257705215,0.392522240325122
-0.9348,0.490220380676597,0.398581000105179
-0.9324,0.493383229258391,0.404639759885236
-0.93,0.494794696642155,0.410614982155109
-0.9276,0.494336872031161,0.416573496922945
-0.9252,0.492302768028956,0.422532011690782
-0.9228,0.492117951165683,0.428430198368667
-0.9204,0.498591955212963,0.4342680569566
-0.918,0.51028158966313,0.440105915544533
-0.9156,0.522054082160555,0.44592088533489
-0.9132,0.532290433267763,0.451621411137361
-0.9108,0.5396338490752,0.457321936939832
-0.9084,0.542994931262911,0.463022462742303
-0.906,0.541665346175048,0.468597843495105
-0.9036,0.53536785588573,0.474148195237973
-0.9012,0.527185911175371,0.479698546980841
-0.8988,0.522445410377584,0.485169295102386
-0.8964,0.522626769268827,0.490560439602608
-0.894,0.529044254838771,0.49595158410283
-0.8916,0.543257167118259,0.501315299028789
-0.8892,0.562137233395932,0.506541866083437
-0.8868,0.578445390061372,0.511768433138086
-0.8844,0.58989597697669,0.516995000192734
-0.882,0.59502286971649,0.522082790004321
-0.8796,0.59280791259701,0.527142824367296
-0.8772,0.583675528147658,0.532202858730271
-0.8748,0.573958306315757,0.537180190446972
-0.8724,0.566268244553697,0.542074819517399
-0.87,0.561486931172497,0.546969448587826
-0.8676,0.560661654532664,0.551837145848149
-0.8652,0.565039991378476,0.556570184057953
-0.8628,0.57595421068362,0.561303222267756
-0.8604,0.593883814629037,0.56603626047756
-0.858,0.616354780643202,0.57063969343156
-0.8556,0.634348375508719,0.5752172053344
-0.8532,0.6444223573811,0.579794717237239
-0.8508,0.645072924834679,0.584298395079223
-0.8484,0.637815687751519,0.588728238860351
-0.846,0.629554243946532,0.593158082641479
-0.8436,0.621767825294398,0.597564847739874
-0.8412,0.61502963067606,0.601856219424602
-0.8388,0.610069558676943,0.60614759110933
-0.8364,0.607821797177982,0.610438962794058
-0.834,0.609397150154753,0.614623354944699
-0.8316,0.616060472415111,0.618786351188522
-0.8292,0.628015386236664,0.622949347432345
-0.8268,0.644664520917531,0.627053452678515
-0.8244,0.665553055007886,0.631098666927034
-0.822,0.683783892393955,0.635143881175552
-0.8196,0.691648452316588,0.639171253596954
-0.8172,0.689862887880383,0.643109416882775
-0.8148,0.685903564283643,0.647047580168595
-0.8124,0.681335588218736,0.650985743454416
-0.81,0.676353132989264,0.654843498976263
-0.8076,0.671346145869833,0.658685172945317
-0.8052,0.666899177955291,0.66252684691437
-0.8028,0.663799720042691,0.666325346989207
-0.8004,0.663013268299668,0.670080673169828
-0.798,0.665735586738496,0.673835999350449
-0.7956,0.672462003000083,0.677578522176735
-0.7932,0.682236665552235,0.681257028231345
-0.7908,0.694192941640429,0.684935534285954
-0.7884,0.707843452852371,0.688614040340564
-0.786,0.72273012476876,0.692235842091978
-0.7836,0.729877454869626,0.695846302982753
-0.7812,0.732802224601481,0.699456763873527
-0.7788,0.734739722709243,0.703037169198893
-0.7764,0.735417584532851,0.70658751895885
-0.774,0.734770346367414,0.710137868718806
-0.7716,0.732980439315319,0.713679374881646
-0.7692,0.730473478712823,0.717176663058906
-0.7668,0.727891286438013,0.720673951236165
-0.7644,0.726075547036613,0.724171239413425
-0.762,0.726082145569469,0.72762944230333
-0.7596,0.728924356703463,0.731079828135765
-0.7572,0.733961133188461,0.7345302139682
-0.7548,0.739687873130717,0.737959795351688
-0.7524,0.744944428281984,0.74136857228623
-0.75,0.749141271216572,0.744777349220773
-0.7476,0.752438912828706,0.748179937202617
-0.7452,0.759690061662051,0.751551580420974
-0.7428,0.769848538011037,0.754923223639331
-0.7404,0.779133628344394,0.758294866857687
-0.738,0.786779521361963,0.761638665771668
-0.7356,0.792336775652739,0.764976895824772
-0.7332,0.79569712271352,0.768315125877877
-0.7308,0.797058592566018,0.771638169095002
-0.7284,0.796888867487092,0.774946025476148
-0.726,0.795910097636257,0.778253881857293
-0.7236,0.795042027304425,0.781557082074281
-0.7212,0.795445188162431,0.784837001470479
-0.7188,0.797664248834324,0.788116920866677
-0.7164,0.800114778948174,0.791396840262875
-0.714,0.800874139655225,0.794655072626219
-0.7116,0.798473107564266,0.797908967582992
-0.7092,0.792184010287298,0.801162862539765
-0.7068,0.782776282356525,0.804404477385718
-0.7044,0.781821443048345,0.807633812120852
-0.702,0.79601202196567,0.810863146855985
-0.6996,0.814119629076622,0.814088569309129
-0.6972,0.830647466060303,0.817294430352325
-0.6948,0.844604544686081,0.820500291395521
-0.6924,0.855444628691242,0.823706152438716
-0.69,0.863038188937459,0.826893096090125
-0.6876,0.867629510581792,0.830076256263176
-0.6852,0.869778615699606,0.833259416436228
-0.6828,0.870330073499824,0.836431484002322
-0.6804,0.870339468005176,0.83959245896146
-0.678,0.8710517759622,0.842753433920598
-0.6756,0.872345483673118,0.845910762574426
-0.6732,0.871869037959655,0.849049859701712
-0.6708,0.867257825920423,0.852188956828998
-0.6684,0.856722813726232,0.855328053956283
-0.666,0.839235765536353,0.858449036690561
-0.6636,0.818110358788975,0.861566396546237
-0.6612,0.807990955787245,0.864683756401914
-0.6588,0.813613256420081,0.86779025175152
-0.6564,0.836011297078262,0.870885882595057
-0.654,0.862684012416546,0.873981513438593
-0.6516,0.886863823331742,0.877073506820095
-0.6492,0.907352640480678,0.880147312891424
-0.6468,0.923524166908283,0.883221118962752
-0.6444,0.935257631961518,0.886294925034081
-0.642,0.942877674109688,0.889350396332938
-0.6396,0.947092243762383,0.8924022006773
-0.6372,0.948917775206565,0.895454005021662
-0.6348,0.949576796399445,0.898494688514289
-0.6324,0.950407277007935,0.901524251155182
-0.63,0.950359237560733,0.904553813796074
-0.6276,0.94643524620269,0.907579621369276
-0.6252,0.935832268918907,0.910586653604023
-0.6228,0.916442560357355,0.91359368583877
-0.6204,0.887160178634876,0.916600718073517
-0.618,0.856439555511118,0.919588703053478
-0.6156,0.838180836318968,0.922572878582482
-0.6132,0.834944531907261,0.925557054111485
-0.6108,0.84875113501791,0.928529623635103
-0.6084,0.880725438328837,0.931490587153336
-0.606,0.916857421745085,0.934451550671569
-0.6036,0.949199465844173,0.937408582568281
-0.6012,0.976427908322645,0.94034595635739
-0.5988,0.997882572569403,0.943283330146499
-0.5964,1.01352212793893,0.946220703935608
-0.594,1.0238496081517,0.949138090375191
-0.5916,1.02981263742439,0.952051479344869
-0.5892,1.03265753917087,0.954964868314547
-0.5868,1.03392585621749,0.957866060571166
-0.5844,1.0347345232381,0.960755056114726
-0.582,1.03269818750887,0.963644051658285
-0.5796,1.02417887800214,0.966528911770338
-0.5772,1.0059852032515,0.969393094724856
-0.5748,0.975774560411835,0.972257277679375
-0.5724,0.933621324413725,0.975121460633894
-0.57,0.895857732576609,0.977964610240906
-0.5676,0.871042288587774,0.980803553178418
-0.5652,0.860751068950956,0.983642496115929
-0.5628,0.866749034657779,0.986468602096248
-0.5604,0.891250987948543,0.989281871119376
-0.558,0.934521756776211,0.992095140142503
-0.5556,0.979805018657776,0.994904057023883
-0.5532,1.01950179330335,0.997691213196524
-0.5508,1.05228860438233,1.00047836936916
-0.5484,1.07764373547127,1.00326552554181
-0.546,1.09575298569499,1.00603055199558
-0.5436,1.10743635286243,1.00879115250559
-0.5412,1.11399308602821,1.01155175301559
-0.5388,1.11706187467419,1.0142988528331
-0.5364,1.11852001418064,1.01703245195812
-0.534,1.1182568655269,1.01976605108314
-0.5316,1.1122808197879,1.02249507534204
-0.5292,1.09643045832253,1.02520122527034
-0.5268,1.06718703781328,1.02790737519864
-0.5244,1.02217105097361,1.03061352512694
